	OBO_ID	OBO_LABEL	ENRICHMENT_P_VALUE	TOTAL_POPULATION	TOTAL_SUCCESSES	TOTAL_WORD_IGNORANCE	TOTAL_SUCCESSES_IN_WORD_IGNORANCE	BONFERRONI_CRRECTION_P_VALUE	BONFERRONI_CRRECTION_P_VALUE_REJECT	BH_CRRECTION_P_VALUE	BH_CRRECTION_P_VALUE_REJECT
5896	GO_0006260	DNA replication	1.628664676472868e-05	51868	156	33885	126	0.19073292026173758	False	0.0021430665197948043	True
2838	GO_0006953	acute-phase response	1.6611938541286474e-05	51868	200	33885	158	0.1945424122570059	False	0.0021615823584111766	True
7667	UBERON_0001049	neural tube	1.727508785442603e-05	51868	133	33885	109	0.20230855386318325	False	0.002223170921573442	True
11197	PR_000008989	interleukin-1 family member 7	1.9397016995200722e-05	51868	210	33885	165	0.22715846603079565	False	0.0024691137612043003	True
7679	CHEBI_50114	estrogen	2.5181458948953323e-05	51868	154	33885	124	0.2949000657511924	False	0.0031529218008964654	True
4211	GO_0045087	innate immune response	2.5307373348498656e-05	51868	112	33885	93	0.29637464928426777	False	0.0031529218008964654	True
6799	UBERON_0001847	lobule of pinna	2.9352784763276694e-05	51868	57	33885	51	0.3437504623627334	False	0.003618425919607719	True
760	GO_0060041	retina development in camera-type eye	3.224674820905951e-05	51868	31	33885	30	0.3776416682762959	False	0.0039337673778780825	True
3841	GO_0042592	homeostatic process	4.380828470436825e-05	51868	195	33885	153	0.5130388221728566	False	0.005289060022400583	True
3646	CHEBI_27026	toxin	5.553388352441663e-05	51868	55	33885	49	0.6503573099544432	False	0.006636299081167788	True
319	UBERON_0000922	embryo	8.292850933189127e-05	51868	598	33885	434	0.9711757727857786	False	0.009809856290765442	True
7478	UBERON_0000995	uterus	8.517321546025662e-05	51868	329	33885	247	0.9974635262550652	False	0.009886452780648678	True
2407	CHEBI_25614	nylons	8.526442924135569e-05	51868	71	33885	61	0.9985317308455165	False	0.009886452780648678	True
5864	UBERON_0000467	anatomical system	8.679944618114742e-05	51868	49	33885	44	1.0	False	0.009965767786543308	True
6143	GO_0007128	meiotic prophase I	8.846897105610756e-05	51868	295	33885	223	1.0	False	0.01005883611687452	True
3091	GO_0022008	neurogenesis	9.383021662664941e-05	51868	87	33885	73	1.0	False	0.01056582372033357	True
10948	CHEBI_80445	9,10-EOT	0.00011998196683036077	51868	48	33885	43	1.0	False	0.013381988700479571	True
5352	GO_0002020	protease binding	0.0001319032794455487	51868	33	33885	31	1.0	False	0.014572823637611518	True
3701	GO_0006915	apoptotic process	0.00014721108737723043	51868	596	33885	431	1.0	False	0.016112047142754632	True
4110	GO_0030154	cell differentiation	0.00015410471496118082	51868	149	33885	118	1.0	False	0.016710373304725818	True
11148	CHEBI_24866	salt	0.00015722609684192974	51868	223	33885	171	1.0	False	0.016892429542347147	True
6155	UBERON_0000992	ovary	0.00016079322084848558	51868	209	33885	161	1.0	False	0.017118630994151042	True
1974	CHEBI_25179	melanins	0.00016549807764931618	51868	47	33885	42	1.0	False	0.017460792678839113	True
3773	GO_0003054	circadian regulation of systemic arterial blood pressure by the suprachiasmatic nucleus	0.0002001313824976425	51868	20	33885	20	1.0	False	0.020741049738317627	True
5776	GO_0002065	columnar/cuboidal epithelial cell differentiation	0.0002001313824976425	51868	20	33885	20	1.0	False	0.020741049738317627	True
10056	UBERON_0001005	respiratory airway	0.00020681736724069395	51868	356	33885	264	1.0	False	0.021245949015401465	True
678	GO_0007596	blood coagulation	0.00020945196759237857	51868	1269	33885	888	1.0	False	0.02132949558673344	True
3203	CHEBI_35222	inhibitor	0.00021233431627689007	51868	252	33885	191	1.0	False	0.021436613602747068	True
7539	CL_0000173	pancreatic D cell	0.0002584060293453564	51868	41	33885	37	1.0	False	0.025645703471724315	True
10636	UBERON_0002349	myocardium	0.0002584060293453564	51868	41	33885	37	1.0	False	0.025645703471724315	True
11035	GO_0009855	determination of bilateral symmetry	0.00027444718791320554	51868	31	33885	29	1.0	False	0.027008832081105463	True
10120	GO_0010467	gene expression	0.0003237874230118032	51868	6414	33885	4312	1.0	False	0.03159895425742689	True
6716	CL_0000365	animal zygote	0.0003577900314137234	51868	49	33885	43	1.0	False	0.03462875254451334	True
3702	CHEBI_18059	lipid	0.00037630799309157283	51868	1184	33885	828	1.0	False	0.03612248284504434	True
10283	GO_0060612	adipose tissue development	0.0004328646064887133	51868	133	33885	105	1.0	False	0.0412136374519457	True
11670	GO_0048513	animal organ development	0.00044413373071233947	51868	73	33885	61	1.0	False	0.04121666066286188	True
11677	CHEBI_34973	Selfotel	0.0004443829026810647	51868	65	33885	55	1.0	False	0.04121666066286188	True
1416	NCBITaxon_39107	Murinae	0.0004462955774555286	51868	111	33885	89	1.0	False	0.04121666066286188	True
9415	CL_0000034	stem cell	0.0004469742894871026	51868	69	33885	58	1.0	False	0.04121666066286188	True
3790	CHEBI_49706	perchlorate	0.000459311097900342	51868	147	33885	115	1.0	False	0.04202337708992895	True
2616	CHEBI_51438	D-isoascorbic acid	0.0004690981379162678	51868	18	33885	18	1.0	False	0.042586110799514826	True
10158	GO_0008289	lipid binding	0.0005006439283595041	51868	24	33885	23	1.0	False	0.04510031573090887	True
7179	GO_0000803	sex chromosome	0.0005667271914782607	51868	29	33885	27	1.0	False	0.050663680453449704	False
3286	GO_0007369	gastrulation	0.0005803708921383747	51868	64	33885	54	1.0	False	0.051490329680549285	False
437	CHEBI_26537	retinoid	0.0006656934620808399	51868	83	33885	68	1.0	False	0.058589807325075016	False
10046	CHEBI_30879	alcohol	0.0006703982735513665	51868	301	33885	223	1.0	False	0.058589807325075016	False
2094	GO_0040007	growth	0.0006927248902466407	51868	190	33885	145	1.0	False	0.06009260140502525	False
7894	CL_0000129	microglial cell	0.0007329050741340633	51868	105	33885	84	1.0	False	0.06256756991636513	False
5420	GO_0046655	folic acid metabolic process	0.0007368846331528651	51868	23	33885	22	1.0	False	0.06256756991636513	False
10703	CHEBI_31719	ipriflavone	0.0007372832933531199	51868	71	33885	59	1.0	False	0.06256756991636513	False
11106	CHEBI_27881	resveratrol	0.00075133957860501	51868	59	33885	50	1.0	False	0.06330171082764943	False
1214	CHEBI_67198	retinoic acid receptor agonist	0.0007851779570147507	51868	101	33885	81	1.0	False	0.0656801361042839	False
2391	CHEBI_7495	nefazodone hydrochloride	0.0007978569066070448	51868	42	33885	37	1.0	False	0.06626739172535533	False
4556	PR_000004716	brain-derived neurotrophic factor	0.0008393012101674367	51868	97	33885	78	1.0	False	0.06921870755120318	False
1401	GO_0018888	3-chloroacrylic acid metabolic process	0.0009499304811265131	51868	37	33885	33	1.0	False	0.07736760406669095	False
2924	GO_0060033	anatomical structure regression	0.0009513222598927074	51868	89	33885	72	1.0	False	0.07736760406669095	False
11216	CHEBI_86926	S a S b S	0.0009604412982910889	51868	136	33885	106	1.0	False	0.07757053823646168	False
7819	UBERON_0002113	kidney	0.00101518784689828	51868	1973	33885	1353	1.0	False	0.08143058133579287	False
8360	CL_0000084	T cell	0.0010241660412498056	51868	871	33885	612	1.0	False	0.08145975061878202	False
7148	CHEBI_25441	mycothiols	0.0010359660325132954	51868	107	33885	85	1.0	False	0.08145975061878202	False
7998	GO_0007613	memory	0.0010364189942958348	51868	301	33885	222	1.0	False	0.08145975061878202	False
5057	GO_0021854	hypothalamus development	0.001082838506791653	51868	22	33885	21	1.0	False	0.08454081168691364	False
9073	UBERON_0001911	mammary gland	0.0011551807877214163	51868	224	33885	168	1.0	False	0.08939509588439327	False
7144	CHEBI_33937	macronutrient	0.0011602813230661582	51868	27	33885	25	1.0	False	0.08939509588439327	False
4371	GO_0030425	dendrite	0.0012479482948094148	51868	65	33885	54	1.0	False	0.09552106196413762	False
5626	CHEBI_6842	methoxychlor	0.0013067085654889612	51868	36	33885	32	1.0	False	0.09809528211821297	False
1788	GO_0007266	Rho protein signal transduction	0.0013067085654889612	51868	36	33885	32	1.0	False	0.09809528211821297	False
11639	PR_000009651	laminin subunit alpha-2	0.0013067085654889612	51868	36	33885	32	1.0	False	0.09809528211821297	False
994	GO_0007620	copulation	0.001481310721825632	51868	272	33885	201	1.0	False	0.10996791759857968	False
7070	CHEBI_17478	aldehyde	0.0014836419588912637	51868	87	33885	70	1.0	False	0.10996791759857968	False
7097	CHEBI_60168	PNCMB	0.0015884058199150137	51868	21	33885	20	1.0	False	0.11699258211965237	False
5589	GO_0001966	thigmotaxis	0.0016446022246280687	51868	48	33885	41	1.0	False	0.12037460407887071	False
6712	CHEBI_28088	genistein	0.0016832674452865728	51868	15	33885	15	1.0	False	0.12168361143056207	False
6189	GO_0006520	cellular amino acid metabolic process	0.0016832674452865728	51868	15	33885	15	1.0	False	0.12168361143056207	False
4797	GO_0007594	puparial adhesion	0.001796140984916456	51868	115	33885	90	1.0	False	0.129046669167832	False
4343	GO_0007129	homologous chromosome pairing at meiosis	0.0018279169436547329	51868	129	33885	100	1.0	False	0.13052887394597912	False
4266	GO_0007588	excretion	0.0019810142900132497	51868	139	33885	107	1.0	False	0.14060399000209192	False
3243	GO_0009790	embryo development	0.0020020304175372788	51868	125	33885	97	1.0	False	0.14086302348402616	False
38	GO_0005739	mitochondrion	0.002008720427105488	51868	964	33885	672	1.0	False	0.14086302348402616	False
1682	CHEBI_16382	iodide	0.002070712365621863	51868	328	33885	239	1.0	False	0.14434590782022402	False
790	PR_000007896	glucokinase regulatory protein	0.002107773455957102	51868	43	33885	37	1.0	False	0.14479662125586515	False
10998	UBERON_0004151	cardiac chamber	0.002107773455957102	51868	43	33885	37	1.0	False	0.14479662125586515	False
8813	CHEBI_37042	purine 2'-deoxyribonucleoside 5'-triphosphate	0.0021142705349460286	51868	30	33885	27	1.0	False	0.14479662125586515	False
535	SO_0001026	genome	0.0021646834678612017	51868	750	33885	527	1.0	False	0.14738725634954963	False
5077	PR_000013057	peroxisome proliferator-activated receptor delta	0.002269800732117502	51868	353	33885	256	1.0	False	0.15365107730536454	False
3400	GO_0007618	mating	0.00232544360823325	51868	356	33885	258	1.0	False	0.1556254624304105	False
6478	GO_0032631	interleukin-27 production	0.0023255448659654887	51868	20	33885	19	1.0	False	0.1556254624304105	False
3126	GO_0060208	proestrus	0.0023523110034258518	51868	25	33885	23	1.0	False	0.15652223955181904	False
10151	GO_0019042	viral latency	0.002576958168129284	51868	14	33885	14	1.0	False	0.17050145258170646	False
5508	CHEBI_17088	monoacyl-sn-glycerol 3-phosphate	0.002592297300991077	51868	106	33885	83	1.0	False	0.17055277355003653	False
6770	UBERON_0002370	thymus	0.002626213642766766	51868	113	33885	88	1.0	False	0.17181892720917094	False
1979	CHEBI_33839	macromolecule	0.00274313339605879	51868	144	33885	110	1.0	False	0.1784713066735805	False
7851	UBERON_0012469	external anal region	0.002803462245093266	51868	42	33885	36	1.0	False	0.17910609045269513	False
649	GO_0060819	inactivation of X chromosome by genetic imprinting	0.002803462245093266	51868	42	33885	36	1.0	False	0.17910609045269513	False
4778	CHEBI_35224	effector	0.0028140654635211257	51868	73	33885	59	1.0	False	0.17910609045269513	False
749	CHEBI_17842	trypanothione	0.0028140654635211257	51868	73	33885	59	1.0	False	0.17910609045269513	False
7552	GO_0061702	inflammasome complex	0.0028524452634816812	51868	50	33885	42	1.0	False	0.18056749448991335	False
10167	PR_000006444	diacylglycerol kinase delta	0.002888175082260444	51868	116	33885	90	1.0	False	0.18184633542124762	False
8126	UBERON_0001013	adipose tissue	0.003098983734953531	51868	1263	33885	871	1.0	False	0.1940759279146567	False
7170	UBERON_0000010	peripheral nervous system	0.0033355323861524594	51868	24	33885	22	1.0	False	0.2077788285863375	False
4658	CHEBI_15358	histone	0.003442712579440352	51868	473	33885	337	1.0	False	0.21332067205198924	False
8138	GO_0001889	liver development	0.0034884574653721756	51868	57	33885	47	1.0	False	0.2150175019840713	False
10397	GO_0051216	cartilage development	0.003616248696868479	51868	53	33885	44	1.0	False	0.22172716486401445	False
10964	CHEBI_28384	vitamin K	0.0036490277216779977	51868	387	33885	278	1.0	False	0.22257168566964078	False
8918	GO_0030431	sleep	0.0037164337705569324	51868	41	33885	35	1.0	False	0.22550857972534838	False
5460	CHEBI_18243	dopamine	0.0038246410688443423	51868	142	33885	108	1.0	False	0.23087820390327884	False
3076	GO_0005901	caveola	0.003945092282965775	51868	13	33885	13	1.0	False	0.23692808064519072	False
784	GO_0060611	mammary gland fat development	0.004064041038446211	51868	28	33885	25	1.0	False	0.24159383046316535	False
384	GO_0060233	oenocyte delamination	0.004064041038446211	51868	28	33885	25	1.0	False	0.24159383046316535	False
10803	GO_0007601	visual perception	0.004247645468030215	51868	267	33885	195	1.0	False	0.2512332125055649	False
2689	CL_0000960	T3 B cell	0.004536877331254928	51868	32	33885	28	1.0	False	0.2656568521316323	False
9568	PR_000002011	MHC class I histocompatibility antigen C alpha chain	0.004536877331254928	51868	32	33885	28	1.0	False	0.2656568521316323	False
9779	CHEBI_17347	testosterone	0.0047153541803193295	51868	23	33885	21	1.0	False	0.2747338945558192	False
2232	GO_0005783	endoplasmic reticulum	0.004751883992127437	51868	279	33885	203	1.0	False	0.2754916506524971	False
3462	GO_0006266	DNA ligation	0.004966319192146966	51868	137	33885	104	1.0	False	0.28385421923412246	False
10664	CHEBI_28790	serotonin	0.004968842536332944	51868	113	33885	87	1.0	False	0.28385421923412246	False
1542	PR_000015190	sodium- and chloride-dependent glycine transporter 2	0.004968842536332944	51868	113	33885	87	1.0	False	0.28385421923412246	False
4379	CHEBI_16730	chloramphenicol 3-acetate	0.005084898748697063	51868	220	33885	162	1.0	False	0.2890740254659772	False
4630	CHEBI_17823	calcitriol	0.0054500151013390265	51868	226	33885	166	1.0	False	0.30833394614387116	False
6357	UBERON_0001062	anatomical entity	0.005761289534116222	51868	77	33885	61	1.0	False	0.32437721987516865	False
6289	GO_0008283	cell proliferation	0.005956124539069853	51868	341	33885	245	1.0	False	0.33374246161266535	False
6560	CHEBI_73831	Asp-Trp	0.006039521312197113	51868	12	33885	12	1.0	False	0.33456995469874673	False
10738	CHEBI_22654	asparagine derivative	0.006039521312197113	51868	12	33885	12	1.0	False	0.33456995469874673	False
1852	UBERON_0002616	regional part of brain	0.006056598957914295	51868	98	33885	76	1.0	False	0.33456995469874673	False
9959	CHEBI_50903	carcinogenic agent	0.0061400087943074	51868	31	33885	27	1.0	False	0.33600767752399047	False
5607	GO_0021992	cell proliferation involved in neural plate elongation	0.0061400087943074	51868	31	33885	27	1.0	False	0.33600767752399047	False
10624	GO_0006631	fatty acid metabolic process	0.006201514945943968	51868	47	33885	39	1.0	False	0.3377950768927898	False
2329	GO_0046660	female sex differentiation	0.006254637610185694	51868	73	33885	58	1.0	False	0.3391113937633549	False
1731	GO_0016570	histone modification	0.006652111927863237	51868	94	33885	73	1.0	False	0.3589994598488773	False
735	CL_0000187	muscle cell	0.006777856527412805	51868	69	33885	55	1.0	False	0.36410769629601536	False
2285	CHEBI_27889	lead(0)	0.007200638770971899	51868	17	33885	16	1.0	False	0.385053336286995	False
7642	GO_0000239	pachytene	0.007604167278054023	51868	50	33885	41	1.0	False	0.40478364996950295	False
3398	UBERON_0002316	white matter	0.0077041787704047624	51868	26	33885	23	1.0	False	0.4082517537566071	False
9550	GO_0006952	defense response	0.007857725848390134	51868	124	33885	94	1.0	False	0.4145127360833191	False
5337	CHEBI_9437	temoporfin	0.007926159416195061	51868	79	33885	62	1.0	False	0.41624777095542764	False
516	GO_0007605	sensory perception of sound	0.008483014407449092	51868	137	33885	103	1.0	False	0.4420385039550898	False
6165	GO_0007308	oocyte construction	0.008492755818452328	51868	57	33885	46	1.0	False	0.4420385039550898	False
3397	CHEBI_36597	phthalazine	0.00873179389875594	51868	96	33885	74	1.0	False	0.4524691962315523	False
6745	GO_0051318	G1 phase	0.00894525036654255	51868	183	33885	135	1.0	False	0.4614882248571797	False
7577	UBERON_0005616	mesenteric artery	0.009245777194748088	51868	11	33885	11	1.0	False	0.4668568030884577	False
