TOTAL SENTENCE COUNT	327724
TOTAL IGNORANCE COUNT	182892

ARTICLE	TOTAL SENTENCE COUNT	TOTAL IGNORANCE COUNT
PMC2950122.nxml.gz_sentence_info.txt	75	40
PMC2957951.nxml.gz_sentence_info.txt	56	44
PMC2958873.nxml.gz_sentence_info.txt	128	65
PMC2963768.nxml.gz_sentence_info.txt	161	104
PMC2966409.nxml.gz_sentence_info.txt	152	77
PMC2984417.nxml.gz_sentence_info.txt	163	87
PMC2987887.nxml.gz_sentence_info.txt	145	80
PMC2990891.nxml.gz_sentence_info.txt	67	60
PMC2991548.nxml.gz_sentence_info.txt	211	76
PMC2992766.nxml.gz_sentence_info.txt	230	70
PMC2993657.nxml.gz_sentence_info.txt	252	126
PMC2994226.nxml.gz_sentence_info.txt	88	46
PMC2994393.nxml.gz_sentence_info.txt	101	59
PMC2996405.nxml.gz_sentence_info.txt	306	193
PMC2999828.nxml.gz_sentence_info.txt	271	220
PMC3001154.nxml.gz_sentence_info.txt	188	82
PMC3001618.nxml.gz_sentence_info.txt	203	80
PMC3004407.nxml.gz_sentence_info.txt	161	71
PMC3016256.nxml.gz_sentence_info.txt	84	67
PMC3021711.nxml.gz_sentence_info.txt	153	94
PMC3022194.nxml.gz_sentence_info.txt	140	95
PMC3028350.nxml.gz_sentence_info.txt	237	103
PMC3028947.nxml.gz_sentence_info.txt	177	117
PMC3029215.nxml.gz_sentence_info.txt	366	240
PMC3031146.nxml.gz_sentence_info.txt	254	120
PMC3032617.nxml.gz_sentence_info.txt	138	79
PMC3034879.nxml.gz_sentence_info.txt	204	104
PMC3038155.nxml.gz_sentence_info.txt	125	65
PMC3039633.nxml.gz_sentence_info.txt	220	111
PMC3050773.nxml.gz_sentence_info.txt	224	138
PMC3052301.nxml.gz_sentence_info.txt	124	59
PMC3061267.nxml.gz_sentence_info.txt	163	145
PMC3066640.nxml.gz_sentence_info.txt	97	75
PMC3075531.nxml.gz_sentence_info.txt	67	33
PMC3076295.nxml.gz_sentence_info.txt	212	99
PMC3081498.nxml.gz_sentence_info.txt	151	125
PMC3083444.nxml.gz_sentence_info.txt	166	101
PMC3094838.nxml.gz_sentence_info.txt	159	101
PMC3095501.nxml.gz_sentence_info.txt	159	88
PMC3095978.nxml.gz_sentence_info.txt	214	86
PMC3096515.nxml.gz_sentence_info.txt	83	42
PMC3098253.nxml.gz_sentence_info.txt	124	69
PMC3099599.nxml.gz_sentence_info.txt	247	182
PMC3102012.nxml.gz_sentence_info.txt	62	23
PMC3103150.nxml.gz_sentence_info.txt	133	66
PMC3104165.nxml.gz_sentence_info.txt	131	52
PMC3104979.nxml.gz_sentence_info.txt	190	108
PMC3107676.nxml.gz_sentence_info.txt	148	75
PMC3107945.nxml.gz_sentence_info.txt	159	84
PMC3111740.nxml.gz_sentence_info.txt	158	127
PMC3112517.nxml.gz_sentence_info.txt	89	73
PMC3114485.nxml.gz_sentence_info.txt	126	73
PMC3115550.nxml.gz_sentence_info.txt	173	102
PMC3117679.nxml.gz_sentence_info.txt	171	72
PMC3119798.nxml.gz_sentence_info.txt	92	40
PMC3120169.nxml.gz_sentence_info.txt	41	31
PMC3120183.nxml.gz_sentence_info.txt	133	53
PMC3120196.nxml.gz_sentence_info.txt	146	73
PMC3120197.nxml.gz_sentence_info.txt	155	97
PMC3124144.nxml.gz_sentence_info.txt	202	158
PMC3127778.nxml.gz_sentence_info.txt	310	230
PMC3130670.nxml.gz_sentence_info.txt	350	146
PMC3131279.nxml.gz_sentence_info.txt	206	94
PMC3134395.nxml.gz_sentence_info.txt	206	123
PMC3134915.nxml.gz_sentence_info.txt	168	104
PMC3138750.nxml.gz_sentence_info.txt	295	148
PMC3145558.nxml.gz_sentence_info.txt	110	63
PMC3156327.nxml.gz_sentence_info.txt	166	145
PMC3156909.nxml.gz_sentence_info.txt	183	80
PMC3166760.nxml.gz_sentence_info.txt	212	105
PMC3168906.nxml.gz_sentence_info.txt	148	85
PMC3169551.nxml.gz_sentence_info.txt	143	75
PMC3170266.nxml.gz_sentence_info.txt	170	80
PMC3171895.nxml.gz_sentence_info.txt	168	127
PMC3178495.nxml.gz_sentence_info.txt	152	87
PMC3180355.nxml.gz_sentence_info.txt	368	206
PMC3183498.nxml.gz_sentence_info.txt	361	319
PMC3184661.nxml.gz_sentence_info.txt	112	76
PMC3192058.nxml.gz_sentence_info.txt	160	60
PMC3192420.nxml.gz_sentence_info.txt	228	88
PMC3195813.nxml.gz_sentence_info.txt	151	97
PMC3198285.nxml.gz_sentence_info.txt	142	51
PMC3202114.nxml.gz_sentence_info.txt	236	191
PMC3205727.nxml.gz_sentence_info.txt	173	58
PMC3208550.nxml.gz_sentence_info.txt	199	68
PMC3216618.nxml.gz_sentence_info.txt	133	71
PMC3219553.nxml.gz_sentence_info.txt	86	40
PMC3219760.nxml.gz_sentence_info.txt	198	154
PMC3227644.nxml.gz_sentence_info.txt	186	99
PMC3228340.nxml.gz_sentence_info.txt	104	68
PMC3231892.nxml.gz_sentence_info.txt	172	107
PMC3231909.nxml.gz_sentence_info.txt	165	84
PMC3231910.nxml.gz_sentence_info.txt	187	113
PMC3235789.nxml.gz_sentence_info.txt	132	62
PMC3236407.nxml.gz_sentence_info.txt	193	130
PMC3237352.nxml.gz_sentence_info.txt	194	90
PMC3238385.nxml.gz_sentence_info.txt	506	205
PMC3240629.nxml.gz_sentence_info.txt	180	103
PMC3241136.nxml.gz_sentence_info.txt	85	70
PMC3241920.nxml.gz_sentence_info.txt	132	77
PMC3248362.nxml.gz_sentence_info.txt	157	72
PMC3249602.nxml.gz_sentence_info.txt	68	33
PMC3250622.nxml.gz_sentence_info.txt	62	28
PMC3250923.nxml.gz_sentence_info.txt	355	164
PMC3252281.nxml.gz_sentence_info.txt	212	117
PMC3257641.nxml.gz_sentence_info.txt	165	127
PMC3257747.nxml.gz_sentence_info.txt	153	116
PMC3260090.nxml.gz_sentence_info.txt	171	84
PMC3260171.nxml.gz_sentence_info.txt	161	87
PMC3262346.nxml.gz_sentence_info.txt	42	15
PMC3263630.nxml.gz_sentence_info.txt	151	101
PMC3263848.nxml.gz_sentence_info.txt	123	47
PMC3264579.nxml.gz_sentence_info.txt	207	74
PMC3268605.nxml.gz_sentence_info.txt	208	98
PMC3270452.nxml.gz_sentence_info.txt	206	103
PMC3271033.nxml.gz_sentence_info.txt	166	79
PMC3271107.nxml.gz_sentence_info.txt	136	74
PMC3272870.nxml.gz_sentence_info.txt	192	155
PMC3273459.nxml.gz_sentence_info.txt	250	100
PMC3274449.nxml.gz_sentence_info.txt	209	89
PMC3276895.nxml.gz_sentence_info.txt	98	41
PMC3276988.nxml.gz_sentence_info.txt	104	56
PMC3277098.nxml.gz_sentence_info.txt	209	159
PMC3278486.nxml.gz_sentence_info.txt	207	127
PMC3279448.nxml.gz_sentence_info.txt	212	77
PMC3290837.nxml.gz_sentence_info.txt	130	67
PMC3295346.nxml.gz_sentence_info.txt	226	109
PMC3295739.nxml.gz_sentence_info.txt	199	102
PMC3296991.nxml.gz_sentence_info.txt	104	50
PMC3299317.nxml.gz_sentence_info.txt	125	102
PMC3304528.nxml.gz_sentence_info.txt	84	64
PMC3309463.nxml.gz_sentence_info.txt	94	83
PMC3313761.nxml.gz_sentence_info.txt	33	11
PMC3316748.nxml.gz_sentence_info.txt	265	149
PMC3317901.nxml.gz_sentence_info.txt	129	64
PMC3319623.nxml.gz_sentence_info.txt	67	52
PMC3321448.nxml.gz_sentence_info.txt	179	99
PMC3321454.nxml.gz_sentence_info.txt	189	79
PMC3322122.nxml.gz_sentence_info.txt	200	92
PMC3324379.nxml.gz_sentence_info.txt	165	73
PMC3325178.nxml.gz_sentence_info.txt	342	157
PMC3330541.nxml.gz_sentence_info.txt	48	25
PMC3335729.nxml.gz_sentence_info.txt	181	98
PMC3338544.nxml.gz_sentence_info.txt	292	113
PMC3340401.nxml.gz_sentence_info.txt	88	57
PMC3342123.nxml.gz_sentence_info.txt	268	75
PMC3347007.nxml.gz_sentence_info.txt	192	97
PMC3347028.nxml.gz_sentence_info.txt	246	178
PMC3348565.nxml.gz_sentence_info.txt	143	55
PMC3350070.nxml.gz_sentence_info.txt	119	57
PMC3350953.nxml.gz_sentence_info.txt	94	42
PMC3354634.nxml.gz_sentence_info.txt	138	65
PMC3354911.nxml.gz_sentence_info.txt	141	120
PMC3355057.nxml.gz_sentence_info.txt	182	67
PMC3355854.nxml.gz_sentence_info.txt	284	257
PMC3355895.nxml.gz_sentence_info.txt	183	145
PMC3356951.nxml.gz_sentence_info.txt	179	130
PMC3357266.nxml.gz_sentence_info.txt	267	74
PMC3360698.nxml.gz_sentence_info.txt	232	118
PMC3365381.nxml.gz_sentence_info.txt	183	134
PMC3366289.nxml.gz_sentence_info.txt	160	68
PMC3366611.nxml.gz_sentence_info.txt	314	242
PMC3373516.nxml.gz_sentence_info.txt	121	46
PMC3373750.nxml.gz_sentence_info.txt	17	7
PMC3375006.nxml.gz_sentence_info.txt	174	136
PMC3376765.nxml.gz_sentence_info.txt	156	80
PMC3378453.nxml.gz_sentence_info.txt	203	142
PMC3382418.nxml.gz_sentence_info.txt	224	95
PMC3385436.nxml.gz_sentence_info.txt	221	114
PMC3385441.nxml.gz_sentence_info.txt	299	184
PMC3387174.nxml.gz_sentence_info.txt	145	66
PMC3387724.nxml.gz_sentence_info.txt	240	195
PMC3395583.nxml.gz_sentence_info.txt	127	84
PMC3400371.nxml.gz_sentence_info.txt	144	105
PMC3401547.nxml.gz_sentence_info.txt	66	45
PMC3403156.nxml.gz_sentence_info.txt	155	100
PMC3404653.nxml.gz_sentence_info.txt	212	62
PMC3404662.nxml.gz_sentence_info.txt	305	155
PMC3406997.nxml.gz_sentence_info.txt	242	119
PMC3407139.nxml.gz_sentence_info.txt	160	121
PMC3407995.nxml.gz_sentence_info.txt	494	300
PMC3409554.nxml.gz_sentence_info.txt	197	137
PMC3410119.nxml.gz_sentence_info.txt	105	55
PMC3411795.nxml.gz_sentence_info.txt	174	78
PMC3414394.nxml.gz_sentence_info.txt	170	86
PMC3415211.nxml.gz_sentence_info.txt	247	96
PMC3415261.nxml.gz_sentence_info.txt	315	217
PMC3417531.nxml.gz_sentence_info.txt	198	117
PMC3420688.nxml.gz_sentence_info.txt	130	72
PMC3423345.nxml.gz_sentence_info.txt	150	78
PMC3424155.nxml.gz_sentence_info.txt	215	76
PMC3426220.nxml.gz_sentence_info.txt	88	76
PMC3426771.nxml.gz_sentence_info.txt	201	170
PMC3427192.nxml.gz_sentence_info.txt	74	60
PMC3427250.nxml.gz_sentence_info.txt	135	66
PMC3432839.nxml.gz_sentence_info.txt	99	64
PMC3433387.nxml.gz_sentence_info.txt	209	129
PMC3433666.nxml.gz_sentence_info.txt	160	132
PMC3436647.nxml.gz_sentence_info.txt	278	154
PMC3436706.nxml.gz_sentence_info.txt	142	73
PMC3437304.nxml.gz_sentence_info.txt	30	24
PMC3448850.nxml.gz_sentence_info.txt	169	130
PMC3458940.nxml.gz_sentence_info.txt	245	111
PMC3462678.nxml.gz_sentence_info.txt	280	141
PMC3463445.nxml.gz_sentence_info.txt	131	97
PMC3465343.nxml.gz_sentence_info.txt	225	103
PMC3469234.nxml.gz_sentence_info.txt	62	43
PMC3470091.nxml.gz_sentence_info.txt	96	37
PMC3471827.nxml.gz_sentence_info.txt	231	89
PMC3472225.nxml.gz_sentence_info.txt	173	137
PMC3472720.nxml.gz_sentence_info.txt	116	67
PMC3474767.nxml.gz_sentence_info.txt	199	122
PMC3475131.nxml.gz_sentence_info.txt	206	115
PMC3475241.nxml.gz_sentence_info.txt	109	58
PMC3476426.nxml.gz_sentence_info.txt	156	87
PMC3478561.nxml.gz_sentence_info.txt	256	77
PMC3481751.nxml.gz_sentence_info.txt	147	70
PMC3482177.nxml.gz_sentence_info.txt	178	110
PMC3483668.nxml.gz_sentence_info.txt	186	123
PMC3485340.nxml.gz_sentence_info.txt	208	78
PMC3488410.nxml.gz_sentence_info.txt	201	146
PMC3488908.nxml.gz_sentence_info.txt	102	90
PMC3489539.nxml.gz_sentence_info.txt	255	111
PMC3489944.nxml.gz_sentence_info.txt	154	55
PMC3496584.nxml.gz_sentence_info.txt	181	152
PMC3500842.nxml.gz_sentence_info.txt	381	294
PMC3501517.nxml.gz_sentence_info.txt	235	107
PMC3503401.nxml.gz_sentence_info.txt	116	49
PMC3504157.nxml.gz_sentence_info.txt	224	139
PMC3504228.nxml.gz_sentence_info.txt	85	47
PMC3504314.nxml.gz_sentence_info.txt	254	216
PMC3509517.nxml.gz_sentence_info.txt	88	58
PMC3509518.nxml.gz_sentence_info.txt	153	89
PMC3513049.nxml.gz_sentence_info.txt	15	12
PMC3513828.nxml.gz_sentence_info.txt	143	49
PMC3514205.nxml.gz_sentence_info.txt	164	84
PMC3515553.nxml.gz_sentence_info.txt	200	124
PMC3515887.nxml.gz_sentence_info.txt	343	224
PMC3518064.nxml.gz_sentence_info.txt	158	99
PMC3520859.nxml.gz_sentence_info.txt	205	88
PMC3521768.nxml.gz_sentence_info.txt	212	105
PMC3527219.nxml.gz_sentence_info.txt	247	87
PMC3532199.nxml.gz_sentence_info.txt	837	333
PMC3532976.nxml.gz_sentence_info.txt	183	98
PMC3533960.nxml.gz_sentence_info.txt	214	58
PMC3534233.nxml.gz_sentence_info.txt	314	245
PMC3534321.nxml.gz_sentence_info.txt	225	147
PMC3534399.nxml.gz_sentence_info.txt	179	62
PMC3538633.nxml.gz_sentence_info.txt	218	92
PMC3542400.nxml.gz_sentence_info.txt	175	92
PMC3543392.nxml.gz_sentence_info.txt	221	173
PMC3544621.nxml.gz_sentence_info.txt	371	241
PMC3547777.nxml.gz_sentence_info.txt	281	112
PMC3549390.nxml.gz_sentence_info.txt	74	33
PMC3551641.nxml.gz_sentence_info.txt	151	89
PMC3552819.nxml.gz_sentence_info.txt	229	104
PMC3553086.nxml.gz_sentence_info.txt	253	126
PMC3556301.nxml.gz_sentence_info.txt	176	80
PMC3556415.nxml.gz_sentence_info.txt	82	32
PMC3558353.nxml.gz_sentence_info.txt	169	60
PMC3559868.nxml.gz_sentence_info.txt	175	93
PMC3561108.nxml.gz_sentence_info.txt	292	173
PMC3568875.nxml.gz_sentence_info.txt	98	49
PMC3570294.nxml.gz_sentence_info.txt	191	95
PMC3571634.nxml.gz_sentence_info.txt	104	37
PMC3574039.nxml.gz_sentence_info.txt	199	67
PMC3575022.nxml.gz_sentence_info.txt	197	95
PMC3577360.nxml.gz_sentence_info.txt	99	71
PMC3577465.nxml.gz_sentence_info.txt	208	66
PMC3577503.nxml.gz_sentence_info.txt	229	146
PMC3578836.nxml.gz_sentence_info.txt	272	122
PMC3581200.nxml.gz_sentence_info.txt	232	83
PMC3582478.nxml.gz_sentence_info.txt	117	110
PMC3583094.nxml.gz_sentence_info.txt	114	57
PMC3583701.nxml.gz_sentence_info.txt	117	54
PMC3585741.nxml.gz_sentence_info.txt	189	94
PMC3585827.nxml.gz_sentence_info.txt	289	91
PMC3586494.nxml.gz_sentence_info.txt	292	207
PMC3596600.nxml.gz_sentence_info.txt	91	47
PMC3599191.nxml.gz_sentence_info.txt	221	177
PMC3599765.nxml.gz_sentence_info.txt	167	59
PMC3600625.nxml.gz_sentence_info.txt	139	73
PMC3603018.nxml.gz_sentence_info.txt	76	60
PMC3607807.nxml.gz_sentence_info.txt	363	295
PMC3608729.nxml.gz_sentence_info.txt	161	83
PMC3608914.nxml.gz_sentence_info.txt	163	109
PMC3608974.nxml.gz_sentence_info.txt	430	218
PMC3610227.nxml.gz_sentence_info.txt	160	73
PMC3610650.nxml.gz_sentence_info.txt	244	92
PMC3613945.nxml.gz_sentence_info.txt	323	250
PMC3614477.nxml.gz_sentence_info.txt	158	76
PMC3614838.nxml.gz_sentence_info.txt	168	40
PMC3615950.nxml.gz_sentence_info.txt	308	217
PMC3616124.nxml.gz_sentence_info.txt	246	99
PMC3621213.nxml.gz_sentence_info.txt	301	152
PMC3622346.nxml.gz_sentence_info.txt	139	67
PMC3628788.nxml.gz_sentence_info.txt	223	134
PMC3629265.nxml.gz_sentence_info.txt	96	49
PMC3635165.nxml.gz_sentence_info.txt	221	84
PMC3635203.nxml.gz_sentence_info.txt	197	103
PMC3635901.nxml.gz_sentence_info.txt	102	77
PMC3639110.nxml.gz_sentence_info.txt	60	49
PMC3640235.nxml.gz_sentence_info.txt	131	84
PMC3641012.nxml.gz_sentence_info.txt	265	98
PMC3642194.nxml.gz_sentence_info.txt	246	125
PMC3649700.nxml.gz_sentence_info.txt	144	66
PMC3650171.nxml.gz_sentence_info.txt	258	164
PMC3650563.nxml.gz_sentence_info.txt	74	41
PMC3651971.nxml.gz_sentence_info.txt	164	61
PMC3652177.nxml.gz_sentence_info.txt	148	102
PMC3653849.nxml.gz_sentence_info.txt	188	83
PMC3654972.nxml.gz_sentence_info.txt	204	91
PMC3657451.nxml.gz_sentence_info.txt	118	54
PMC3659910.nxml.gz_sentence_info.txt	196	162
PMC3660281.nxml.gz_sentence_info.txt	206	143
PMC3660294.nxml.gz_sentence_info.txt	251	123
PMC3662163.nxml.gz_sentence_info.txt	223	93
PMC3664621.nxml.gz_sentence_info.txt	237	111
PMC3668200.nxml.gz_sentence_info.txt	54	40
PMC3669017.nxml.gz_sentence_info.txt	271	136
PMC3669365.nxml.gz_sentence_info.txt	301	76
PMC3672018.nxml.gz_sentence_info.txt	196	111
PMC3673988.nxml.gz_sentence_info.txt	185	105
PMC3674738.nxml.gz_sentence_info.txt	296	174
PMC3675032.nxml.gz_sentence_info.txt	336	133
PMC3678445.nxml.gz_sentence_info.txt	164	89
PMC3679329.nxml.gz_sentence_info.txt	115	64
PMC3679768.nxml.gz_sentence_info.txt	55	15
PMC3683207.nxml.gz_sentence_info.txt	89	58
PMC3683620.nxml.gz_sentence_info.txt	235	175
PMC3685533.nxml.gz_sentence_info.txt	151	75
PMC3685567.nxml.gz_sentence_info.txt	202	101
PMC3686716.nxml.gz_sentence_info.txt	137	71
PMC3687314.nxml.gz_sentence_info.txt	136	90
PMC3690969.nxml.gz_sentence_info.txt	253	116
PMC3691177.nxml.gz_sentence_info.txt	147	48
PMC3693910.nxml.gz_sentence_info.txt	228	191
PMC3693967.nxml.gz_sentence_info.txt	176	85
PMC3695234.nxml.gz_sentence_info.txt	80	48
PMC3698442.nxml.gz_sentence_info.txt	153	72
PMC3699531.nxml.gz_sentence_info.txt	166	97
PMC3700139.nxml.gz_sentence_info.txt	117	99
PMC3702144.nxml.gz_sentence_info.txt	149	80
PMC3702245.nxml.gz_sentence_info.txt	98	83
PMC3702339.nxml.gz_sentence_info.txt	214	100
PMC3702421.nxml.gz_sentence_info.txt	207	84
PMC3704911.nxml.gz_sentence_info.txt	311	176
PMC3705146.nxml.gz_sentence_info.txt	271	181
