	OBO_ID	OBO_LABEL	ENRICHMENT_P_VALUE	TOTAL_POPULATION	TOTAL_SUCCESSES	TOTAL_VITAMIN_D_GENE_LIST	TOTAL_SUCCESSES_IN_VITAMIN_D_GENE_LIST	BONFERRONI_CRRECTION_P_VALUE	BONFERRONI_CRRECTION_P_VALUE_REJECT	BH_CRRECTION_P_VALUE	BH_CRRECTION_P_VALUE_REJECT
5984	PR_000015065	solute carrier family 2, facilitated glucose transporter member 3	6.2621338671287656e-74	327724	192	51868	144	1.1012588618732647e-69	True	9.4936108782178e-72	True
7575	PR_000004968	calretinin	1.246811619596509e-73	327724	188	51868	142	2.1926429142224205e-69	True	1.8740537728396756e-71	True
1205	PR_000005170	CD37 molecule	3.2457324012942605e-71	327724	195	51868	143	5.707945000916086e-67	True	4.837241526200074e-69	True
10448	GO_0006094	gluconeogenesis	2.2076171800001673e-69	327724	297	51868	181	3.882315572748295e-65	True	3.26245006113302e-67	True
13460	UBERON_0002369	adrenal gland	4.5054668742236853e-69	327724	214	51868	149	7.923314045009773e-65	True	6.602761704174811e-67	True
6127	GO_0019395	fatty acid oxidation	3.3533237062698435e-67	327724	83	51868	83	5.897155069846147e-63	True	4.873681875905906e-65	True
12432	CHEBI_60311	thyroid hormone	3.8014014403315927e-66	327724	85	51868	84	6.685144572967139e-62	True	5.4796266991533924e-64	True
895	CL_0000351	trophoblast cell	1.342279078713232e-65	327724	81	51868	81	2.3605319878250896e-61	True	1.9036548288912013e-63	True
8538	CL_0000784	plasmacytoid dendritic cell	1.342279078713232e-65	327724	81	51868	81	2.3605319878250896e-61	True	1.9036548288912013e-63	True
10682	UBERON_0000922	embryo	1.957799141558607e-65	327724	1894	51868	598	3.442985570344966e-61	True	2.754388456275973e-63	True
12671	GO_0001890	placenta development	7.615800360702685e-65	327724	148	51868	117	1.3393146514331741e-60	True	1.0629481360580747e-62	True
14966	CL_0000066	epithelial cell	8.492115677650979e-65	327724	80	51868	80	1.493423463071701e-60	True	1.1759239866706308e-62	True
2713	PR_000006101	cytochrome P450 1A1	1.3053399263834252e-64	327724	217	51868	146	2.2955707945378916e-60	True	1.7934146832327278e-62	True
11860	CHEBI_9437	temoporfin	5.372568000193752e-64	327724	79	51868	79	9.448198085140732e-60	True	7.324184562124599e-62	True
10727	CHEBI_24261	glucocorticoid	1.7014123533512511e-62	327724	361	51868	195	2.99210376460351e-58	True	2.3016182804642386e-60	True
8086	PR_000001383	interleukin-22	2.488004096222361e-59	327724	298	51868	170	4.375404003616644e-55	True	3.340003056195912e-57	True
3344	CHEBI_17842	trypanothione	3.4437354262700746e-59	327724	73	51868	73	6.056153120638553e-55	True	4.5879947883625403e-57	True
5255	UBERON_0001088	urine	3.7802124248325406e-59	327724	2272	51868	666	6.647881570310506e-55	True	4.998407195722185e-57	True
2942	CL_0000233	platelet	1.921650130167705e-58	327724	275	51868	161	3.3794139189129264e-54	True	2.521950685755915e-56	True
3943	SO_0000276	miRNA	4.051918205760407e-58	327724	968	51868	359	7.125703356650251e-54	True	5.2782987827038905e-56	True
14253	PR_000000134	tumor necrosis factor alpha	1.5280254911870172e-56	327724	363	51868	188	2.6871856288014886e-52	True	1.9758717858834474e-54	True
3069	CHEBI_15379	dioxygen	5.513835792381119e-56	327724	69	51868	69	9.696631624481437e-52	True	7.077833302541194e-54	True
16979	UBERON_0001555	digestive tract	1.5603014359620278e-55	327724	1163	51868	402	2.743946105282822e-51	True	1.9883667429585669e-53	True
15127	CHEBI_36357	polyatomic entity	1.2435083032821001e-54	327724	1126	51868	391	2.1868337021519014e-50	True	1.5732616562243893e-52	True
6417	UBERON_0004288	skeleton	1.9619833120542033e-54	327724	1014	51868	363	3.4503438525785216e-50	True	2.4645313232703727e-52	True
14849	GO_0016477	cell migration	2.206091393421546e-54	327724	67	51868	67	3.879632324471131e-50	True	2.7515122868589584e-52	True
12892	GO_0042592	homeostatic process	2.617251162871995e-54	327724	395	51868	195	4.602697895026691e-50	True	3.2413365457934445e-52	True
84	UBERON_0002106	spleen	3.249987033938888e-54	327724	266	51868	153	5.715427197884928e-50	True	3.9968022362831666e-52	True
5582	GO_0046903	secretion	4.600098788317742e-54	327724	293	51868	162	8.089733729135581e-50	True	5.6178706452330426e-52	True
6341	PR_000008777	17-beta-hydroxysteroid dehydrogenase 13	8.388090571943066e-54	327724	160	51868	113	1.4751296079819074e-49	True	1.0173307641254534e-51	True
17148	CL_0000182	hepatocyte	8.826020647885613e-53	327724	65	51868	65	1.5521439911371637e-48	True	1.0558802660797032e-50	True
2241	UBERON_0002186	bronchiole	8.826020647885613e-53	327724	65	51868	65	1.5521439911371637e-48	True	1.0558802660797032e-50	True
2067	UBERON_0001348	brown adipose tissue	9.753295488874923e-53	327724	745	51868	291	1.715214544673544e-48	True	1.1589287464010431e-50	True
966	GO_0010468	regulation of gene expression	2.622592885511031e-52	327724	137	51868	102	4.612091848459699e-48	True	3.095363656684362e-50	True
600	SO_0000694	SNP	9.919750948205306e-52	327724	814	51868	307	1.7444874017513852e-47	True	1.16299160116759e-49	True
7556	GO_0006412	translation	1.9122790913853696e-51	327724	608	51868	252	3.362934010110311e-47	True	2.2271086159670932e-49	True
3860	CL_0000136	fat cell	5.430011780213822e-51	327724	674	51868	269	9.549218716684029e-47	True	6.2823807346605445e-49	True
10463	GO_0008283	cell proliferation	8.707228697083527e-50	327724	965	51868	341	1.531253238669109e-45	True	1.0008191102412478e-47	True
2024	UBERON_0004363	pharyngeal arch artery	8.83445027288187e-50	327724	86	51868	76	1.553626424989006e-45	True	1.0088483279149389e-47	True
1467	GO_0005856	cytoskeleton	1.4124176022673074e-49	327724	61	51868	61	2.483877595347287e-45	True	1.6025016744176044e-47	True
3648	CHEBI_17874	dihydrozeatin	2.0091623984276836e-49	327724	1480	51868	462	3.5333129938749246e-45	True	2.2649442268429003e-47	True
15565	PR_000004155	apolipoprotein E	3.107947449695731e-49	327724	290	51868	155	5.4656363850349126e-45	True	3.481297060531791e-47	True
2902	GO_0005829	cytosol	8.932952462369911e-49	327724	60	51868	60	1.5709490200323725e-44	True	9.942715316660586e-47	True
5269	GO_0030154	cell differentiation	4.094046002829613e-48	327724	276	51868	149	7.199789300576157e-44	True	4.5281693714315445e-46	True
1301	GO_0071743	IgE immunoglobulin complex, circulating	4.994520886170269e-48	327724	1223	51868	399	8.783364430419035e-44	True	5.489602769011897e-46	True
15844	CHEBI_27881	resveratrol	5.649628188891322e-48	327724	59	51868	59	9.935436132984279e-44	True	6.171078343468496e-46	True
10511	PR_000008989	interleukin-1 family member 7	1.462937255481987e-46	327724	486	51868	210	2.5727214574906223e-42	True	1.5880996651176682e-44	True
3042	GO_0001889	liver development	2.2596875066353475e-46	327724	57	51868	57	3.973886449168922e-42	True	2.4379671467294e-44	True
1941	CHEBI_26948	vitamin B1	3.9815649903604005e-46	327724	351	51868	170	7.0019801920478e-42	True	4.269500117102317e-44	True
3973	PR_000002060	lysosome-associated membrane glycoprotein 1	1.0880559992851679e-45	327724	194	51868	118	1.9134552803428962e-41	True	1.1596698668744825e-43	True
14090	CHEBI_3387	carbamazepine	9.037507587800963e-45	327724	55	51868	55	1.5893360843906773e-40	True	9.574313761389623e-43	True
5144	CHEBI_35222	inhibitor	1.003025196336259e-43	327724	661	51868	252	1.763920110276945e-39	True	1.0562395869921828e-41	True
15441	CHEBI_24384	glycogens	1.3012209991996829e-43	327724	170	51868	107	2.2883272491925624e-39	True	1.3620995530908107e-41	True
5193	GO_0005840	ribosome	1.3176826215369855e-43	327724	162	51868	104	2.3172766582349427e-39	True	1.3711696202573624e-41	True
5604	GO_0000785	chromatin	2.3381723565961973e-43	327724	305	51868	152	4.1119099063100725e-39	True	2.418770533123572e-41	True
10009	CL_0000815	regulatory T cell	2.285578736990803e-42	327724	52	51868	52	4.019418766872026e-38	True	2.3505372905684368e-40	True
2571	UBERON_0001637	artery	5.790885485846374e-42	327724	358	51868	166	1.0183851215409432e-37	True	5.920843729889205e-40	True
4145	PR_000015190	sodium- and chloride-dependent glycine transporter 2	7.884123287913758e-42	327724	192	51868	113	1.3865019214125135e-37	True	8.014461973482736e-40	True
7766	GO_0001764	neuron migration	1.4453218861769742e-41	327724	51	51868	51	2.5417430690308266e-37	True	1.4607718787533487e-39	True
6834	CL_0000312	keratinocyte	5.77936596199966e-40	327724	49	51868	49	1.0163592980772603e-35	True	5.807767417584344e-38	True
15989	PR_000008210	glutathione peroxidase 1	5.975192495014306e-40	327724	219	51868	120	1.0507973521732159e-35	True	5.97043950098418e-38	True
9812	SO_0001060	sequence_variant	9.316705155382416e-40	327724	196	51868	112	1.6384357686255517e-35	True	9.256699257771478e-38	True
8880	CHEBI_17026	progesterone	3.077874784991282e-39	327724	567	51868	219	5.412750596885668e-35	True	3.0408711218458814e-37	True
6663	SO_0000417	polypeptide_domain	9.678884221190689e-39	327724	239	51868	125	1.7021285791385946e-34	True	9.509098207478182e-37	True
9988	PR_000002030	alpha-type platelet-derived growth factor receptor	2.045367621418036e-38	327724	97	51868	73	3.596983499025758e-34	True	1.998324166125421e-36	True
14436	CL_0000094	granulocyte	2.3108278340829084e-38	327724	47	51868	47	4.0638218290182025e-34	True	2.2328691368231882e-36	True
2653	GO_0006935	chemotaxis	2.3108278340829084e-38	327724	47	51868	47	4.0638218290182025e-34	True	2.2328691368231882e-36	True
6730	PR_000007759	gamma-aminobutyric acid receptor-associated protein-like 2	2.8972501227007767e-38	327724	142	51868	91	5.095104065781586e-34	True	2.7842098720117957e-36	True
15332	PR_000006852	transcription factor E2F1	7.758927161038789e-38	327724	154	51868	95	1.3644849305402815e-33	True	7.415678970327616e-36	True
6370	GO_0005777	peroxisome	1.4198502480060684e-37	327724	113	51868	79	2.496948646143472e-33	True	1.3497019708883632e-35	True
4131	CL_0000767	basophil	1.4611698560555675e-37	327724	46	51868	46	2.569613308859321e-33	True	1.3815125316447962e-35	True
1534	PR_000003059	protein kinase C beta type	3.5754400668596217e-37	327724	109	51868	77	6.28776890157933e-33	True	3.362443262876648e-35	True
15862	CL_0000763	myeloid cell	9.239038213581359e-37	327724	45	51868	45	1.6247772602404178e-32	True	8.59670508063713e-35	True
14687	UBERON_0000956	cerebral cortex	9.239038213581359e-37	327724	45	51868	45	1.6247772602404178e-32	True	8.59670508063713e-35	True
6236	CHEBI_28757	fructose	9.586217971805729e-37	327724	241	51868	123	1.6858322925217554e-32	True	8.872801539588186e-35	True
12051	UBERON_0000344	mucosa	1.0491870089679103e-36	327724	238	51868	122	1.845100273970967e-32	True	9.660210858486738e-35	True
12641	GO_0008610	lipid biosynthetic process	1.78288040015502e-36	327724	454	51868	184	3.1353734717126187e-32	True	1.6330070165169885e-34	True
6655	CL_0000476	thyrotroph	7.707125343577134e-36	327724	52	51868	49	1.3553750629214747e-31	True	7.022668719800387e-34	True
3385	PR_000001155	Toll-like receptor 4	6.645181370141753e-35	327724	166	51868	96	1.1686215957531286e-30	True	6.023822658521282e-33	True
11128	GO_0071746	IgA immunoglobulin complex, circulating	8.365909488632393e-35	327724	196	51868	106	1.4712288426708927e-30	True	7.544763295748167e-33	True
587	PR_000011509	nuclear pore complex protein Nup155	2.735529080765516e-34	327724	171	51868	97	4.810701441434236e-30	True	2.4544395109358346e-32	True
220	GO_0007566	embryo implantation	7.389245376700201e-34	327724	719	51868	246	1.2994726919464973e-29	True	6.596308080946687e-32	True
14579	GO_0043005	neuron projection	1.4765918014772317e-33	327724	41	51868	41	2.59673434207786e-29	True	1.3048916291848541e-31	True
16701	UBERON_0001301	epididymis	1.4765918014772317e-33	327724	41	51868	41	2.59673434207786e-29	True	1.3048916291848541e-31	True
12375	UBERON_0007311	sputum	1.79826553734827e-33	327724	145	51868	87	3.1624297739806673e-29	True	1.5812148869903338e-31	True
14971	PR_000014662	selenoprotein W	2.5328352481257514e-33	327724	98	51868	69	4.4542440673539466e-29	True	2.216041824554202e-31	True
15319	SO_0001032	mitochondrial_DNA	6.1011914389113133e-33	327724	55	51868	49	1.0729555264469436e-28	True	5.311661022014572e-31	True
2197	PR_000008474	hematopoietic lineage cell-specific protein	8.408691173920412e-33	327724	125	51868	79	1.4787524298456437e-28	True	7.284494728303663e-31	True
12805	UBERON_0003889	fallopian tube	9.335793539323178e-33	327724	40	51868	40	1.641792651825374e-28	True	8.048003195222422e-31	True
12227	CL_0000909	CD8-positive, alpha-beta memory T cell	9.714392646552303e-33	327724	92	51868	66	1.708373090822688e-28	True	8.333527272305795e-31	True
3493	CHEBI_37527	acid	9.96721603088416e-33	327724	519	51868	194	1.7528346111912886e-28	True	8.508905879569362e-31	True
12339	PR_000007706	3-galactosyl-N-acetylglucosaminide 4-alpha-L-fucosyltransferase FUT3	1.9028540757058658e-32	327724	126	51868	79	3.3463591775363355e-28	True	1.6165986364909835e-30	True
15141	GO_0007369	gastrulation	2.2710698580379013e-32	327724	88	51868	64	3.9939034523454534e-28	True	1.920145890550699e-30	True
3430	GO_0007416	synapse assembly	7.941782797581091e-32	327724	117	51868	75	1.3966419227826106e-27	True	6.682497238194308e-30	True
8660	PR_000013059	peroxisome proliferator-activated receptor gamma coactivator 1-alpha	8.586889231430827e-32	327724	139	51868	83	1.5100903402394254e-27	True	7.190906382092501e-30	True
16404	CHEBI_86926	S a S b S	1.388417673193081e-31	327724	310	51868	136	2.441671320077352e-27	True	1.1571901990887925e-29	True
7643	PR_000003666	acyl-coenzyme A synthetase ACSM2B, mitochondrial	1.5317175540709946e-31	327724	78	51868	59	2.693678490589251e-27	True	1.2706030615987034e-29	True
97	PR_000027594	histone H3	1.6772496351558109e-31	327724	314	51868	137	2.949611208385009e-27	True	1.3847939945469525e-29	True
6890	PR_000014368	RuvB-like 1	2.645863190601652e-31	327724	182	51868	97	4.6530150069920645e-27	True	2.174306078033675e-29	True
