	OBO_ID	OBO_LABEL	ENRICHMENT_P_VALUE	TOTAL_POPULATION	TOTAL_SUCCESSES	TOTAL_VITAMIN_D	TOTAL_SUCCESSES_IN_VITAMIN_D	BONFERRONI_CRRECTION_P_VALUE	BONFERRONI_CRRECTION_P_VALUE_REJECT	BH_CRRECTION_P_VALUE	BH_CRRECTION_P_VALUE_REJECT
9859	UBERON_0001004	respiratory system	3.525876879657756e-42	327724	987	10841	133	6.199901905190198e-38	True	1.937469345371937e-39	True
15198	UBERON_0001132	parathyroid gland	7.017945869714582e-42	327724	164	10841	57	1.2340356017306122e-37	True	3.7395018234260976e-39	True
17448	PR_000017279	testis-specific basic protein Y 1	1.7660862301608813e-41	327724	334	10841	77	3.1054860271148936e-37	True	9.133782432690864e-39	True
8150	CHEBI_46662	mineral	3.1826444223300205e-41	327724	871	10841	123	5.5963619522251084e-37	True	1.5989605577786023e-38	True
14301	CHEBI_52550	theopalauamide	8.468411664987751e-39	327724	154	10841	53	1.4890855071714462e-34	True	4.136348631031795e-36	True
15266	CHEBI_17500	7alpha-hydroxycholesterol	5.535053506746841e-38	327724	64	10841	37	9.732838086263646e-34	True	2.6304967800712554e-35	True
11942	CHEBI_43141	3-hydroxypropoxy group	7.886988649833023e-38	327724	60	10841	36	1.3868480841866388e-33	True	3.649600221543786e-35	True
13351	CHEBI_72805	2-alkyl-sn-glycero-3-phosphocholine	1.5366966578504762e-37	327724	102	10841	44	2.7021274031642772e-33	True	6.928531802985326e-35	True
12154	CHEBI_66212	5,7,3',4'-tetrahydroxy-2'-(3,3-dimethylallyl)isoflavone	1.6422756806718503e-36	327724	200	10841	57	2.8877775568933817e-32	True	7.219443892233454e-34	True
319	UBERON_0005063	left ventricular compact myocardium	2.1483441892997488e-36	327724	64	10841	36	3.777648422464678e-32	True	9.213776640157752e-34	True
6494	CHEBI_63056	zinc cation	6.54636248875939e-35	327724	121	10841	45	1.1511123800234512e-30	True	2.740743761960598e-32	True
9641	PR_000006009	alpha-catulin	8.914940466770208e-34	327724	89	10841	39	1.5676031316768733e-29	True	3.6455886783183103e-31	True
16669	CHEBI_82784	PVP38-Ag NP	6.321098859294842e-31	327724	96	10841	38	1.111502023418405e-26	True	2.5261409623145572e-28	True
5955	CHEBI_28064	cyanidin 3-O-rutinoside	2.043107749501934e-30	327724	190	10841	50	3.5926006667242005e-26	True	7.941181276183851e-28	True
12858	GO_0007128	meiotic prophase I	2.0774245831691148e-30	327724	1184	10841	127	3.6529433870445715e-26	True	7.941181276183851e-28	True
7083	PR_000001949	tumor necrosis factor ligand superfamily member 4	5.728429084274765e-29	327724	93	10841	36	1.0072869701788747e-24	True	2.1431637663380311e-26	True
17477	CHEBI_4910	etomidate	1.224531618697503e-28	327724	41	10841	26	2.1532163983176892e-24	True	4.4858674964951854e-26	True
12316	CHEBI_33277	gamma-tocotrienol	2.042524078973232e-28	327724	1083	10841	117	3.591574340466531e-24	True	7.329743551972514e-26	True
14444	CHEBI_65381	albizoside C	1.4006693326980155e-27	327724	122	10841	39	2.4629369546161905e-23	True	4.925873909232381e-25	True
9688	CHEBI_17823	calcitriol	1.4724687877672866e-27	327724	226	10841	51	2.5891891164099968e-23	True	5.076841404725484e-25	True
17519	GO_0055073	cadmium ion homeostasis	1.0929148407088155e-26	327724	51	10841	27	1.921781455902381e-22	True	3.695733569043041e-24	True
714	UBERON_0000178	blood	1.1912013519405705e-26	327724	9155	10841	498	2.0946084572522993e-22	True	3.952091428777923e-24	True
4355	CHEBI_26130	biological pigment	2.0782624237816907e-26	327724	358	10841	62	3.654416645977725e-22	True	6.767438233292083e-24	True
14860	UBERON_0001431	distal carpal bone 2	2.84260176118227e-26	327724	63	10841	29	4.998430936862903e-22	True	9.088056248841643e-24	True
9572	UBERON_0004288	skeleton	9.07729430422074e-25	327724	1014	10841	106	1.596151430454175e-20	True	2.850270411525312e-22	True
17397	UBERON_0000104	life cycle	1.300755895794655e-24	327724	5978	10841	352	2.2872491671653216e-20	True	4.012717837132143e-22	True
1087	UBERON_0001442	skeleton of manus	1.9784484724911023e-24	327724	401	10841	63	3.478903794028354e-20	True	5.998109989704059e-22	True
14432	PR_000009880	Lon protease, mitochondrial	6.691017697497245e-24	327724	226	10841	47	1.1765485519279155e-19	True	1.9941500880134163e-21	True
5408	CHEBI_30863	5-azaorotic acid	7.039526654832522e-22	327724	3324	10841	221	1.2378303669857506e-17	True	2.0630506116429177e-19	True
1507	PR_000017255	Vang-like protein 1	9.15828334818617e-22	327724	33	10841	20	1.6103925439450564e-17	True	2.6399877769591085e-19	True
5064	CHEBI_26948	vitamin B1	1.7654295095960767e-21	327724	351	10841	55	3.1043312496737416e-17	True	5.006985886570551e-19	True
15111	CHEBI_46744	DDT-2,3-dihydrodiol	5.494945425446044e-21	327724	69	10841	26	9.662312036104324e-17	True	1.5337003231911625e-18	True
2624	UBERON_0009472	axilla	1.5957860062424233e-20	327724	163	10841	37	2.806030113376677e-16	True	4.384422052151058e-18	True
5777	CHEBI_35885	secondary phosphine	5.71574275671474e-20	327724	131	10841	33	1.0050562063407199e-15	True	1.5462403174472612e-17	True
8484	PR_000004480	V-type proton ATPase catalytic subunit A	9.093500055467486e-20	327724	39	10841	20	1.5990010497534026e-15	True	2.4227288632627314e-17	True
2683	CHEBI_27725	butin	1.3767033502607489e-19	327724	173	10841	37	2.420795171098501e-15	True	3.613127121042539e-17	True
10913	CHEBI_67472	15-epi-lupulin B	6.160023284266843e-19	327724	42	10841	20	1.0831784943054817e-14	True	1.5929095504492378e-16	True
7553	CHEBI_72765	verruculogen	9.45566557289055e-19	327724	204	10841	39	1.662684234337074e-14	True	2.409687296140687e-16	True
16434	CHEBI_33284	nutrient	9.94056829840602e-19	327724	4356	10841	258	1.7479495295917144e-14	True	2.497070756559592e-16	True
610	PR_000006101	cytochrome P450 1A1	1.3338105817485525e-18	327724	217	10841	40	2.3453725269466547e-14	True	3.3033415872488097e-16	True
13514	GO_0018240	protein S-linked glycosylation via cysteine	1.7067727984030367e-18	327724	12	10841	12	3.0011892887119e-14	True	4.168318456544305e-16	True
6241	CHEBI_39382	flufenoxuron	1.4894524901524594e-17	327724	331	10841	48	2.6190532586840845e-13	True	3.5877441899781985e-15	True
14961	CHEBI_7916	pantothenic acid	1.8528492694705123e-17	327724	19	10841	14	3.2580501554369487e-13	True	4.402770480320201e-15	True
2142	PR_000005506	Cbp/p300-interacting transactivator 2	1.0981217317705603e-16	327724	52	10841	20	1.9309372531453533e-12	True	2.5745830041938042e-14	True
15824	CHEBI_72657	19,20-DiHDPA	1.9013878433094928e-16	327724	30	10841	16	3.3434003836754124e-12	True	4.399211031151858e-14	True
9050	CHEBI_23042	carotene	2.6280939001986917e-16	327724	54	10841	20	4.621240314109379e-12	True	6.001610797544648e-14	True
884	CHEBI_33839	macromolecule	2.986755186675164e-16	327724	1234	10841	101	5.251910320249608e-12	True	6.733218359294368e-14	True
9315	CHEBI_18245	carboxylato group	9.523851780553352e-16	327724	72	10841	22	1.6746740970925015e-11	True	2.1198406292310144e-13	True
9119	UBERON_0000065	respiratory tract	2.7297569061363125e-15	327724	120	10841	27	4.800004543750092e-11	True	6.000005679687615e-13	True
11724	CHEBI_31341	calcium dihydroxide	5.642891251482139e-15	327724	188	10841	33	9.922459976606194e-11	True	1.2249950588402708e-12	True
12814	CHEBI_17996	chloride	8.059541437824618e-15	327724	214	10841	35	1.4171897664270807e-10	True	1.7282802029598547e-12	True
2824	GO_0048539	bone marrow development	9.585881790972096e-15	327724	56	10841	19	1.6855814541245334e-10	True	2.0308210290657028e-12	True
9727	PR_000012046	oxysterol-binding protein-related protein 11	3.209279903797979e-14	327724	102	10841	24	5.643197782838366e-10	True	6.718092598617103e-12	True
13201	CHEBI_50341	1-hydroxyethyl group	4.7277557755483077e-14	327724	9	10841	9	8.313285755724144e-10	True	9.780336183204876e-12	True
10937	CHEBI_37983	sulfur-35 atom	5.198260049628105e-14	327724	156	10841	29	9.140620471266059e-10	True	1.0628628454960536e-11	True
14287	PR_000017209	utrophin	5.719234980932949e-14	327724	61	10841	19	1.0056702790472498e-09	True	1.1559428494795974e-11	True
2554	CHEBI_62946	ammonium sulfate	5.872374467777464e-14	327724	168	10841	30	1.0325983264139894e-09	True	1.1734071891068061e-11	True
7211	PR_000001177	D(2) dopamine receptor	1.2109978854998758e-13	327724	161	10841	29	2.1294186818629817e-09	True	2.3926052605202043e-11	True
8281	GO_0045087	innate immune response	2.920410809012692e-13	327724	112	10841	24	5.135250366567918e-09	True	5.70583374063102e-11	True
84	GO_0007594	puparial adhesion	3.0072387054787556e-13	327724	587	10841	58	5.287928539713844e-09	True	5.8109104832020265e-11	True
6108	CHEBI_70487	(-)-sanguinolignan C	4.587115446780677e-13	327724	10	10841	9	8.065983801619142e-09	True	8.767373697412111e-11	True
8966	GO_0007420	brain development	5.80136653376192e-13	327724	563	10841	56	1.020112291296696e-08	True	1.0968949368781678e-10	True
15548	CHEBI_33341	titanium atom	7.816197681890526e-13	327724	994	10841	80	1.3744002003836301e-08	True	1.4621278727485427e-10	True
4212	CHEBI_52915	phosphatediyl group	1.1504683479885656e-12	327724	47	10841	16	2.022983543103094e-08	True	2.1294563611611516e-10	True
15348	GO_0030474	spindle pole body duplication	1.215185699735559e-12	327724	71	10841	19	2.136782534415007e-08	True	2.2258151400156322e-10	True
6502	GO_0030324	lung development	3.0405938344607307e-12	327724	158	10841	27	5.346580198515749e-08	True	5.511938348985308e-10	True
5480	GO_0007567	parturition	9.782689677443863e-12	327724	37984	10841	1482	1.7201881528817288e-07	True	1.7552940335527848e-09	True
16290	CHEBI_73394	Ala-Ser	1.2864329381807233e-11	327724	39	10841	14	2.262063678496984e-07	True	2.28491280656261e-09	True
6161	CHEBI_34300	2-naphthoyl-CoA	2.3884660334212194e-11	327724	48	10841	15	4.1998786731678723e-07	True	4.199878673167873e-09	True
3743	CHEBI_22975	cadinane sesquiterpenoid	2.4551283155368933e-11	327724	17	10841	10	4.317097630040073e-07	True	4.274354089148587e-09	True
4026	PR_000003010	moesin isoform 1	5.900088346550923e-11	327724	43	10841	14	1.0374715348575142e-06	True	1.017128955742661e-08	True
739	UBERON_0001969	blood plasma	8.29701859515148e-11	327724	4206	10841	219	1.4589477497714361e-06	True	1.4164541259916855e-08	True
14132	UBERON_0007023	adult organism	1.889505343384301e-10	327724	5567	10841	273	3.322506195806955e-06	True	3.194717495968226e-08	True
5805	GO_0071611	granulocyte colony-stimulating factor production	2.0763999393945705e-10	327724	32	10841	12	3.651141653431413e-06	True	3.477277765172774e-08	True
4581	CHEBI_30207	phosphorus(.)	2.5172334174041476e-10	327724	26	10841	11	4.426303241163453e-06	True	4.175757774682503e-08	True
669	CHEBI_3364	Canthiumine	2.8164956888416014e-10	327724	65	10841	16	4.952526019259072e-06	True	4.62852898996175e-08	True
3454	UBERON_0012652	colorectum	3.925287381118882e-10	327724	86	10841	18	6.902225330959442e-06	True	6.359743608176977e-08	True
10752	PR_000007719	frizzled-2	3.942288747106975e-10	327724	21	10841	10	6.932120532912905e-06	True	6.359743608176977e-08	True
10542	CL_0000902	induced T-regulatory cell	6.134451573721644e-10	327724	78	10841	17	1.0786819647232139e-05	True	9.806199679301944e-08	True
132	CHEBI_37958	dye	7.198733851929272e-10	327724	481	10841	45	1.265825360523243e-05	True	1.1403832076785975e-07	True
17398	PR_000006474	ATP-dependent RNA helicase A	7.346900424587988e-10	327724	186	10841	26	1.2918789706595517e-05	True	1.153463366660314e-07	True
15616	UBERON_0001474	bone element	1.2492750964465753e-09	327724	103	10841	19	2.196725329591658e-05	True	1.9440047164527947e-07	True
10677	CHEBI_45557	sec-butyl group	1.3085353369452659e-09	327724	6	10841	6	2.3009285364845556e-05	True	2.0008074230300483e-07	True
10046	CHEBI_52240	p-quaterphenyl	1.3085353369452659e-09	327724	6	10841	6	2.3009285364845556e-05	True	2.0008074230300483e-07	True
134	UBERON_0001005	respiratory airway	2.3281668816935766e-09	327724	757	10841	59	4.093848644769985e-05	True	3.529179866181022e-07	True
10899	CL_0000576	monocyte	3.1816052308303166e-09	327724	199	10841	26	5.594534637892029e-05	True	4.781653536659854e-07	True
12850	NCBITaxon_1	root	3.292374667206645e-09	327724	4841	10841	237	5.789311614816165e-05	True	4.906196283742513e-07	True
13504	PR_000004770	Polycomb complex protein BMI-1	4.014557023564341e-09	327724	40	10841	12	7.059197070235537e-05	True	5.932098378349191e-07	True
10832	CHEBI_50815	norgestimate	4.971309907967842e-09	327724	78	10841	16	8.741551342170653e-05	True	7.284626118475544e-07	True
235	UBERON_0001557	upper respiratory tract	7.295360941935343e-09	327724	34	10841	11	0.00012828162680299108	True	1.0601787339090172e-06	True
2060	UBERON_0004905	articulation	8.385984670711515e-09	327724	194	10841	25	0.00014745915444979127	True	1.2086815938507482e-06	True
14393	CHEBI_27329	xanthosine phosphate	1.2696172099802498e-08	327724	11	10841	7	0.00022324949020292712	True	1.8150365057148545e-06	True
8575	GO_0019458	methionine catabolic process via 2-oxobutanoate	1.4504564005907375e-08	327724	16	10841	8	0.0002550482534798753	True	2.056840753869962e-06	True
11212	GO_0009294	DNA mediated transformation	1.88042921681547e-08	327724	1825	10841	107	0.00033065467348483224	True	2.645237387878658e-06	True
13896	CHEBI_36003	decenoic acid	1.980423992163723e-08	327724	232	10841	27	0.00034823775478206903	True	2.763791704619596e-06	True
6378	PR_000000037	BMP receptor type-2	2.0775605142277415e-08	327724	109	10841	18	0.0003653182408218061	True	2.8765215812740636e-06	True
8896	CHEBI_51438	D-isoascorbic acid	3.026746767099076e-08	327724	47	10841	12	0.0005322231515267015	True	4.157993371302355e-06	True
6251	CL_0000019	sperm	3.342562832295971e-08	327724	437	10841	39	0.0005877562484309236	True	4.556249987836617e-06	True
11377	CHEBI_22314	alkali metal atom	4.646915168807018e-08	327724	18	10841	8	0.000817113563283026	True	6.285488948330969e-06	True
8593	CHEBI_16158	steroid sulfate	5.2196379219015415e-08	327724	517	10841	43	0.000917821132187167	True	7.006268184634863e-06	True
9886	CHEBI_63991	15-epi-lipoxin B4	5.964490311850023e-08	327724	25	10841	9	0.001048795976435708	True	7.885684033351188e-06	True
15181	GO_0018884	carbazole metabolic process	5.964490311850023e-08	327724	25	10841	9	0.001048795976435708	True	7.885684033351188e-06	True
16977	CHEBI_17933	calcidiol	6.226377765274478e-08	327724	13	10841	7	0.0010948462662458643	True	8.170494524222868e-06	True
12251	CHEBI_26537	retinoid	7.300172194293946e-08	327724	172	10841	22	0.0012836622786446474	True	9.508609471441832e-06	True
7025	PR_000006110	cytochrome P450 27, mitochondrial	7.525820108298939e-08	327724	82	10841	15	0.0013233402078432854	True	9.73044270473004e-06	True
9236	UBERON_0000310	breast	1.0438871574361518e-07	327724	1753	10841	101	0.0018355711776357293	True	1.3398329763764448e-05	True
282	CHEBI_22652	ascorbic acid	1.0944286653984797e-07	327724	73	10841	14	0.0019244433652366867	True	1.3945241777077438e-05	True
8395	CHEBI_25212	metabolite	1.4223055474989735e-07	327724	536	10841	43	0.002500982074722195	True	1.7992676796562556e-05	True
215	GO_0001501	skeletal system development	1.5238923640648927e-07	327724	194	10841	23	0.002679612332971707	True	1.914008809265505e-05	True
1415	CHEBI_27810	resorcinol	1.6022491406719277e-07	327724	54	10841	12	0.002817394888957518	True	1.9981524035159698e-05	True
7729	SO_0000694	SNP	1.6410386539653687e-07	327724	814	10841	57	0.002885602369132704	True	2.032114344459651e-05	True
14811	PR_000004717	transcription factor TFIIIB component B''	2.449685269589169e-07	327724	10	10841	6	0.004307526578045595	True	3.0122563482836326e-05	True
8614	CHEBI_60641	methyl 5-aminolevulinate hydrochloride	3.6843133709123615e-07	327724	58	10841	12	0.006478496631412296	True	4.4989559940363166e-05	True
12452	CL_0002327	mammary gland epithelial cell	4.4887473092252135e-07	327724	23	10841	8	0.007893013268541615	True	5.443457426580424e-05	True
5647	CHEBI_63058	(2R,3S)-EHNA	4.915670294458096e-07	327724	31	10841	9	0.008643714645775116	True	5.920352497106244e-05	True
12702	CHEBI_74304	(6Z,9Z,12Z,15Z,18Z,21Z)-3-oxotetracosahexaenoyl-CoA(4-)	5.236953525228027e-07	327724	11	10841	6	0.009208659078760964	True	6.264393931129907e-05	True
16638	GO_0030154	cell differentiation	6.843415351057411e-07	327724	276	10841	27	0.012033461553299351	True	8.130717265742805e-05	True
11441	CHEBI_47519	ketoconazole	7.859197627932889e-07	327724	7	10841	5	0.013819613108957192	True	9.274908126816906e-05	True
15741	CHEBI_33962	mu4-sulfido-quadro-tetracopper(6+)	7.966791009235179e-07	327724	1649	10841	93	0.014008805310639139	True	9.339203540426093e-05	True
674	CHEBI_85855	diacylglycerol 46:7	9.976564096655163e-07	327724	18	10841	7	0.01754279030755844	True	0.0001161774192553539	True
10496	UBERON_0011919	yolk sac blood island	1.1967734688636583e-06	327724	4	10841	4	0.021044064676498567	True	0.00013489785049037542	True
16377	GO_0018977	1,1,1-trichloro-2,2-bis-(4-chlorophenyl)ethane metabolic process	1.1967734688636583e-06	327724	4	10841	4	0.021044064676498567	True	0.00013489785049037542	True
5489	GO_0031151	histone methyltransferase activity (H3-K79 specific)	1.1967734688636583e-06	327724	4	10841	4	0.021044064676498567	True	0.00013489785049037542	True
15141	GO_0070639	vitamin D2 metabolic process	1.1967734688636583e-06	327724	4	10841	4	0.021044064676498567	True	0.00013489785049037542	True
12372	CHEBI_73281	(2S)-versicolorone(1-)	1.1967734688636583e-06	327724	4	10841	4	0.021044064676498567	True	0.00013489785049037542	True
12765	PR_000004738	class E basic helix-loop-helix protein 22	1.2536615891706977e-06	327724	337	10841	30	0.02204438538397755	True	0.00014041009798711817	True
4693	CHEBI_25179	melanins	1.2730272189959002e-06	327724	268	10841	26	0.02238491061882391	True	0.00014167664948622728	True
1962	CHEBI_72779	11-trans-LTE4	1.5341719285245735e-06	327724	19	10841	7	0.0269768791911761	True	0.00016966590686274277	True
11455	CHEBI_15956	biotin	1.7223641075719674e-06	327724	45	10841	10	0.030286050467545476	True	0.00018928781542215924	True
10586	GO_0006955	immune response	1.8193033117093845e-06	327724	473	10841	37	0.031990629433097814	True	0.00019869956169625975	True
15196	CHEBI_27013	tocopherol	2.2299887525357916e-06	327724	80	10841	13	0.03921212222458936	True	0.0002420501371888232	True
13319	CHEBI_32588	potassium chloride	3.4414280365173235e-06	327724	199	10841	21	0.06051407059412062	False	0.0003712519668350958	True
10641	CHEBI_25098	lyxoside	4.459747184734199e-06	327724	9	10841	5	0.07842019449636616	False	0.0004752739060385827	True
16476	CHEBI_31186	alfacalcidol	4.459747184734199e-06	327724	9	10841	5	0.07842019449636616	False	0.0004752739060385827	True
5494	PR_000004483	V-type proton ATPase subunit C 1	5.699064769082027e-06	327724	31	10841	8	0.10021235489953836	False	0.0006036888849369781	True
14116	GO_0050900	leukocyte migration	5.755827093309333e-06	327724	51	10841	10	0.10121046360875131	False	0.0006060506802919239	True
2548	UBERON_0005079	eggshell	5.8255683872597574e-06	327724	5	10841	4	0.10243679452157557	False	0.000606134878825891	True
6774	GO_0006654	phosphatidic acid biosynthetic process	5.8255683872597574e-06	327724	5	10841	4	0.10243679452157557	False	0.000606134878825891	True
15896	CHEBI_15643	(6R)-6-(L-erythro-1,2-dihydroxypropyl)-7,8-dihydro-6H-pterin	6.6426074897037295e-06	327724	23	10841	7	0.11680361009895038	False	0.0006870800594055904	True
2895	GO_0044297	cell body	8.269584905392763e-06	327724	53	10841	10	0.14541238097642634	False	0.0008503648010317331	True
1434	PR_000009809	leukocyte immunoglobulin-like receptor subfamily B member 2	8.674525831984566e-06	327724	10	10841	5	0.15253286222961662	False	0.0008816928452578995	True
12638	CHEBI_26871	terpene alkaloid	8.674525831984566e-06	327724	10	10841	5	0.15253286222961662	False	0.0008816928452578995	True
6595	PR_000011614	opioid growth factor receptor	9.601982188723584e-06	327724	43	10841	9	0.1688412548065155	False	0.000970352039117905	True
12090	UBERON_0002204	musculoskeletal system	1.3861736032473801e-05	327724	94	10841	13	0.24374476639501932	False	0.0013928272365429676	True
7882	CHEBI_75903	arsenic(1-) sulfides	1.546688457006448e-05	327724	11	10841	5	0.27196969828001377	False	0.0015279196532585046	True
12577	CHEBI_63912	19-hydroxyprostaglandin H2	1.546688457006448e-05	327724	11	10841	5	0.27196969828001377	False	0.0015279196532585046	True
4407	CHEBI_7542	neurotensin	1.546688457006448e-05	327724	11	10841	5	0.27196969828001377	False	0.0015279196532585046	True
1441	CHEBI_4657	disopyramide	1.7014893604587706e-05	327724	6	10841	4	0.2991898891430702	False	0.0016349174270113126	True
17511	CHEBI_67469	15-hydroxyajubractin C	1.7014893604587706e-05	327724	6	10841	4	0.2991898891430702	False	0.0016349174270113126	True
10801	CHEBI_77773	sodium selenide	1.7014893604587706e-05	327724	6	10841	4	0.2991898891430702	False	0.0016349174270113126	True
4484	CHEBI_72759	N-(pentadecanoyl)sphinganine-1-phosphocholine	1.7014893604587706e-05	327724	6	10841	4	0.2991898891430702	False	0.0016349174270113126	True
11082	CHEBI_18323	anserine	1.7014893604587706e-05	327724	6	10841	4	0.2991898891430702	False	0.0016349174270113126	True
13934	CHEBI_83326	tedizolid phosphate	2.3364891850305543e-05	327724	37	10841	8	0.41084825829577265	False	0.0022328709689987646	True
2094	CHEBI_67825	17beta,21beta-epoxyhopan-3-one	2.5787659530433633e-05	327724	12	10841	5	0.453450205183145	False	0.0024340214028440825	True
9903	PR_000009481	keratin, type II cytoskeletal 5	2.5787659530433633e-05	327724	12	10841	5	0.453450205183145	False	0.0024340214028440825	True
9513	UBERON_0000160	intestine	2.5885009231792736e-05	327724	1121	10841	64	0.45516200233184345	False	0.0024340214028440825	True
3257	CHEBI_27778	abequose	2.624738293399401e-05	327724	129	10841	15	0.46153398151135067	False	0.0024549679867625035	True
979	UBERON_0002113	kidney	2.6712949925370464e-05	327724	1973	10841	100	0.46972051148771427	False	0.002485293711575208	True
8672	CL_0000312	keratinocyte	2.9249525814934373e-05	327724	49	10841	9	0.514323661929806	False	0.002706966641735821	True
14156	CHEBI_30823	oleate	3.0060100172223744e-05	327724	61	10841	10	0.5285768014283823	False	0.002767417808525562	True
1945	GO_0009057	macromolecule catabolic process	3.275050310632678e-05	327724	147	10841	16	0.5758848466216501	False	0.0029994002428210937	True
12842	CHEBI_86929	S b G-5,5-G b S A CH2	3.3969538544835354e-05	327724	20	10841	6	0.5973203657723849	False	0.00309492417498645	True
15895	CHEBI_27844	2',3'-cyclic AMP	3.551850743882314e-05	327724	29	10841	7	0.6245574348042661	False	0.0031658380531042482	True
12342	GO_0065007	biological regulation	3.565695129513923e-05	327724	6678	10841	281	0.6269918315737283	False	0.0031658380531042482	True
17406	CHEBI_70326	guttiferone A, (rel-(+))-	3.618820795461521e-05	327724	3	10841	3	0.6363334486739539	False	0.0031658380531042482	True
9191	CHEBI_4509	diclofenac sodium	3.618820795461521e-05	327724	3	10841	3	0.6363334486739539	False	0.0031658380531042482	True
12797	CHEBI_61669	2-methylbutanenitrile	3.618820795461521e-05	327724	3	10841	3	0.6363334486739539	False	0.0031658380531042482	True
