	OBO_ID	OBO_LABEL	ENRICHMENT_P_VALUE	TOTAL_POPULATION	TOTAL_SUCCESSES	TOTAL_IGNORANCE_CATEGORY	TOTAL_SUCCESSES_IN_IGNORANCE_CATEGORY	BONFERRONI_CRRECTION_P_VALUE	BONFERRONI_CRRECTION_P_VALUE_REJECT	BH_CRRECTION_P_VALUE	BH_CRRECTION_P_VALUE_REJECT
1806	CHEBI_72652	7,2'-dihydroxy-4'-methoxyisoflavan-4-ylium cation	1.7542290676581076e-39	182892	446	8688	101	2.3903125275909375e-35	True	9.193509721503606e-37	True
2652	UBERON_0001004	respiratory system	5.094700821983678e-38	182892	677	8688	124	6.942039340034959e-34	True	2.5711256814944294e-35	True
4713	PR_000001683	vasopressin V2 receptor	6.790229822387598e-38	182892	51	8688	37	9.252367155985342e-34	True	3.3044168414233367e-35	True
3623	CHEBI_26536	retinoic acid	2.5754119061894172e-36	182892	465	8688	99	3.5092562633737e-32	True	1.210088366680586e-33	True
12845	GO_0042368	vitamin D biosynthetic process	3.7963171751764684e-35	182892	26	8688	26	5.172861782895456e-31	True	1.7242872609651518e-32	True
4728	UBERON_0005063	left ventricular compact myocardium	1.2030283853837373e-31	182892	54	8688	34	1.6392464779238803e-27	True	5.287891864270582e-29	True
6175	CHEBI_46662	mineral	3.4723167984052168e-31	182892	533	8688	99	4.731378869506948e-27	True	1.4785558967209215e-28	True
7149	CHEBI_63056	zinc cation	1.1847291626433019e-30	182892	88	8688	41	1.6143119570177633e-26	True	4.891854415205343e-28	True
1416	CHEBI_33010	chromide(1-)	3.5616818138176534e-30	182892	62	8688	35	4.8531476395079346e-26	True	1.4273963645611571e-27	True
4647	UBERON_0001132	parathyroid gland	1.3141026875254633e-29	182892	103	8688	43	1.7905963220221962e-25	True	5.115989491491989e-27	True
8227	PR_000006009	alpha-catulin	2.364298903491875e-28	182892	59	8688	33	3.221593685898029e-24	True	8.948871349716747e-26	True
9510	UBERON_0001431	distal carpal bone 2	3.183075898487325e-27	182892	46	8688	29	4.337259219278829e-23	True	1.1722322214267105e-24	True
7554	CHEBI_33237	vitamin D4	1.9573183858335625e-26	182892	80	8688	36	2.6670420325368125e-22	True	7.018531664570559e-24	True
2458	CHEBI_72805	2-alkyl-sn-glycero-3-phosphocholine	2.0328183229425341e-26	182892	75	8688	35	2.769918246841497e-22	True	7.102354479080762e-24	True
3512	CHEBI_86198	1,2-di-[(11Z)-eicosenoyl]-sn-glycero-3-phosphocholine	2.883485537789703e-25	182892	36	8688	25	3.9290373937922495e-21	True	9.822593484480623e-23	True
10074	PR_000001949	tumor necrosis factor ligand superfamily member 4	1.1216309481640821e-23	182892	66	8688	31	1.5283343299683783e-19	True	3.727644707239947e-21	True
13587	GO_0007128	meiotic prophase I	1.9586843746875522e-22	182892	864	8688	114	2.6689033289492588e-18	True	6.354531735593473e-20	True
3012	GO_0055073	cadmium ion homeostasis	4.658279576536507e-22	182892	44	8688	25	6.347371750988644e-18	True	1.4761329653461964e-19	True
7454	CHEBI_65381	albizoside C	2.5737246599858335e-21	182892	88	8688	33	3.506957221696697e-17	True	7.970357322037947e-19	True
7530	CHEBI_66212	5,7,3',4'-tetrahydroxy-2'-(3,3-dimethylallyl)isoflavone	2.43952393437963e-20	182892	134	8688	39	3.324095312985684e-16	True	7.38687847330152e-18	True
642	PR_000017279	testis-specific basic protein Y 1	3.336096704792105e-20	182892	189	8688	46	4.5457653699497225e-16	True	9.882098630325483e-18	True
10613	CHEBI_17500	7alpha-hydroxycholesterol	3.518931625206246e-20	182892	37	8688	22	4.794896232506031e-16	True	1.0201906877672406e-17	True
3171	UBERON_0001442	skeleton of manus	4.866624670027552e-20	182892	345	8688	63	6.631262775379542e-16	True	1.3815130782040713e-17	True
10538	PR_000004480	V-type proton ATPase catalytic subunit A	5.607014814827168e-19	182892	19	8688	16	7.6401183866835e-15	True	1.559207834017041e-16	True
11875	CHEBI_46744	DDT-2,3-dihydrodiol	1.8886634173764343e-18	182892	47	8688	23	2.5734927725171293e-14	True	5.146985545034259e-16	True
8578	CHEBI_52550	theopalauamide	6.7731894093257784e-18	182892	71	8688	27	9.229147889147306e-14	True	1.8096368410092755e-15	True
3650	UBERON_0000178	blood	1.2787348860677953e-17	182892	5032	8688	375	1.7424041557559778e-13	True	3.3507772226076496e-15	True
7880	CHEBI_43141	3-hydroxypropoxy group	1.3503629156509504e-17	182892	32	8688	19	1.840004508865985e-13	True	3.4717066205018587e-15	True
1861	CHEBI_27568	selenium atom	4.0506837455587076e-17	182892	261	8688	50	5.519461671698295e-13	True	1.0221225317959805e-14	True
9472	GO_0018240	protein S-linked glycosylation via cysteine	1.3108630108460957e-16	182892	12	8688	12	1.78618193857889e-12	True	3.2476035246888906e-14	True
5966	PR_000009880	Lon protease, mitochondrial	2.4171444886113066e-16	182892	146	8688	36	3.293601080181766e-12	True	5.881430500324583e-14	True
5472	CHEBI_28064	cyanidin 3-O-rutinoside	3.6248749015634613e-16	182892	109	8688	31	4.939254540870373e-12	True	8.665358843632232e-14	True
6966	CHEBI_18245	carboxylato group	3.698396594177434e-16	182892	32	8688	18	5.0394351992261716e-12	True	8.688681377976157e-14	True
10509	CHEBI_33277	gamma-tocotrienol	7.67103897593757e-16	182892	740	8688	90	1.0452557708612532e-11	True	1.7716199506122936e-13	True
7150	UBERON_0004288	skeleton	8.970243145871226e-16	182892	793	8688	94	1.2222853310564132e-11	True	2.0371422184273552e-13	True
7432	CHEBI_72765	verruculogen	1.2929019523763074e-15	182892	129	8688	33	1.7617082003079566e-11	True	2.888046230013044e-13	True
4939	CHEBI_17823	calcitriol	3.0861161697076723e-15	182892	166	8688	37	4.2051418928436745e-11	True	6.78248692394141e-13	True
11805	UBERON_0009472	axilla	8.837933006990106e-15	182892	121	8688	31	1.2042567515324719e-10	True	1.9115186532261457e-12	True
13497	CHEBI_31341	calcium dihydroxide	7.404660391478879e-14	182892	106	8688	28	1.008959024942912e-09	True	1.5764984764733e-11	True
3835	UBERON_0000065	respiratory tract	9.938827615169607e-14	182892	92	8688	26	1.3542646508430106e-09	True	2.0834840782200162e-11	True
949	CHEBI_82784	PVP38-Ag NP	1.7896721995106315e-13	182892	66	8688	22	2.4386073390531866e-09	True	3.69485960462604e-11	True
4444	PR_000017255	Vang-like protein 1	8.828263645596755e-13	182892	21	8688	13	1.2029392043490138e-08	True	1.7954316482821102e-10	True
10389	PR_000006101	cytochrome P450 1A1	9.529361443711098e-13	182892	151	8688	32	1.2984707903200742e-08	True	1.909515868117756e-10	True
12139	GO_0048539	bone marrow development	1.1840560033857458e-12	182892	52	8688	19	1.613394710213417e-08	True	2.3382532032078513e-10	True
5695	CHEBI_37983	sulfur-35 atom	2.2181892099623228e-12	182892	96	8688	25	3.022504617494661e-08	True	4.317863739278087e-10	True
6319	CHEBI_4910	etomidate	3.1570397217322544e-12	182892	15	8688	11	4.30178232483237e-08	True	6.058848344834324e-10	True
12895	CHEBI_39382	flufenoxuron	3.190224987156559e-11	182892	201	8688	35	4.347000567499528e-07	True	6.037500788193788e-09	True
7162	GO_0045087	innate immune response	5.204701602673706e-11	182892	93	8688	23	7.091926403803192e-07	True	9.714967676442728e-09	True
8125	CHEBI_67472	15-epi-lupulin B	2.07289572600487e-10	182892	24	8688	12	2.824527716254236e-06	True	3.816929346289508e-08	True
1362	CHEBI_34300	2-naphthoyl-CoA	2.728056020498308e-10	182892	41	8688	15	3.7172491335309944e-06	True	4.9563321780413255e-08	True
3450	CHEBI_35885	secondary phosphine	2.7729294782328837e-10	182892	76	8688	20	3.778393707040127e-06	True	4.9715706671580626e-08	True
4250	CHEBI_73394	Ala-Ser	3.468056509832388e-10	182892	30	8688	13	4.725573800297612e-06	True	6.13710883155534e-08	True
11110	PR_000007719	frizzled-2	3.57963213581547e-10	182892	16	8688	10	4.877606748262159e-06	True	6.253341984951485e-08	True
13512	CHEBI_52915	phosphatediyl group	4.1451184022243686e-10	182892	36	8688	14	5.648138334870925e-06	True	7.060172918588655e-08	True
13503	PR_000005506	Cbp/p300-interacting transactivator 2	4.1451184022243686e-10	182892	36	8688	14	5.648138334870925e-06	True	7.060172918588655e-08	True
6282	CHEBI_70487	(-)-sanguinolignan C	5.445974232256604e-10	182892	7	8688	7	7.420684488872849e-06	True	9.161338875151666e-08	True
8533	CHEBI_62946	ammonium sulfate	6.567327492434658e-10	182892	96	8688	22	8.948640441191465e-06	True	1.091297614779447e-07	True
3141	CHEBI_26130	biological pigment	8.271948395816273e-10	182892	204	8688	33	1.1271356884139253e-05	True	1.3579948053179823e-07	True
11548	CHEBI_27725	butin	1.4187257032912768e-09	182892	127	8688	25	1.933155643304694e-05	True	2.3013757658389212e-07	True
1611	CHEBI_23042	carotene	1.4388388885938928e-09	182892	39	8688	14	1.9605618695980383e-05	True	2.306543375997692e-07	True
5853	PR_000012046	oxysterol-binding protein-related protein 11	3.163062025969649e-09	182892	78	8688	19	4.309988316586244e-05	True	5.011614321611911e-07	True
8706	PR_000006474	ATP-dependent RNA helicase A	8.443765652397652e-09	182892	138	8688	25	0.00011505475077957042	True	1.322468399765177e-06	True
5824	CHEBI_52240	p-quaterphenyl	1.147192401987632e-08	182892	6	8688	6	0.00015631643669483474	True	1.7563644572453342e-06	True
4942	CHEBI_50341	1-hydroxyethyl group	1.147192401987632e-08	182892	6	8688	6	0.00015631643669483474	True	1.7563644572453342e-06	True
6199	PR_000003010	moesin isoform 1	1.2116155066419507e-08	182892	32	8688	12	0.0001650947289350322	True	1.8343858770559132e-06	True
11082	CHEBI_26948	vitamin B1	1.7251193178252613e-08	182892	207	8688	31	0.0002350647582468701	True	2.5831292115040673e-06	True
405	GO_0030474	spindle pole body duplication	2.2737216544148884e-08	182892	47	8688	14	0.0003098173126305727	True	3.3675794851149205e-06	True
12243	CHEBI_22975	cadinane sesquiterpenoid	2.682574088846162e-08	182892	13	8688	8	0.00036552754534617803	True	3.930403713399764e-06	True
10689	GO_0007420	brain development	3.173118972877677e-08	182892	517	8688	55	0.00043236919124431226	True	4.5971216864636655e-06	True
13301	GO_0030324	lung development	3.2050973155294896e-08	182892	117	8688	22	0.00043672656021404824	True	4.5971216864636655e-06	True
10014	CHEBI_37958	dye	4.067226867680047e-08	182892	298	8688	38	0.0005542003329900832	True	5.772920135313367e-06	True
5810	PR_000017209	utrophin	5.917334731033689e-08	182892	43	8688	13	0.0008062960304506504	True	8.312330210831448e-06	True
6770	GO_0007594	puparial adhesion	6.159643654657734e-08	182892	432	8688	48	0.0008393130443836628	True	8.564418820241458e-06	True
12922	CL_0000576	monocyte	7.014474449464595e-08	182892	122	8688	22	0.0009557922884840458	True	9.654467560444906e-06	True
11837	CL_0000902	induced T-regulatory cell	7.188187646954348e-08	182892	51	8688	14	0.0009794624487739995	True	9.794624487739994e-06	True
7723	UBERON_0000104	life cycle	2.3102891355136397e-07	182892	5052	8688	319	0.0031479999760508854	True	3.1168316594563225e-05	True
10695	CHEBI_45557	sec-butyl group	2.416291337919175e-07	182892	5	8688	5	0.0032924385770486684	True	3.196542307814241e-05	True
11318	PR_000009809	leukocyte immunoglobulin-like receptor subfamily B member 2	2.416291337919175e-07	182892	5	8688	5	0.0032924385770486684	True	3.196542307814241e-05	True
12949	CHEBI_17996	chloride	5.43272008674753e-07	182892	126	8688	21	0.007402624390202184	True	7.051909338578761e-05	True
3239	CHEBI_33341	titanium atom	5.469884246176436e-07	182892	637	8688	60	0.007453264273840011	True	7.051909338578761e-05	True
10560	CHEBI_3364	Canthiumine	5.485853441137155e-07	182892	36	8688	11	0.0074750238988934865	True	7.051909338578761e-05	True
9123	UBERON_0004905	articulation	6.610700794487359e-07	182892	117	8688	20	0.009007740902568475	True	8.418449441652781e-05	True
1927	PR_000004770	Polycomb complex protein BMI-1	8.352846313982893e-07	182892	24	8688	9	0.01138158838743309	True	0.00010538507766141751	True
1730	PR_000006110	cytochrome P450 27, mitochondrial	8.710355151523103e-07	182892	53	8688	13	0.01186872992946538	True	0.00010888743054555394	True
8261	UBERON_0001969	blood plasma	8.796856231510135e-07	182892	2382	8688	166	0.01198659630105571	True	0.00010896905728232464	True
9386	PR_000001177	D(2) dopamine receptor	1.0801878752011714e-06	182892	100	8688	18	0.014718639987491162	True	0.00013260036024766812	True
9471	CHEBI_33839	macromolecule	1.1764615842289037e-06	182892	865	8688	74	0.01603046554670304	True	0.00014312915666699145	True
7371	CL_0002327	mammary gland epithelial cell	1.2177378502399577e-06	182892	19	8688	8	0.016592895947369665	True	0.00014683978714486427	True
10449	CHEBI_22652	ascorbic acid	1.3408638311386478e-06	182892	39	8688	11	0.018270610563095216	True	0.00016026851371136154	True
7428	CHEBI_47519	ketoconazole	1.3924151823954136e-06	182892	6	8688	5	0.018973049275319905	True	0.00016498303717669486	True
11651	GO_0019458	methionine catabolic process via 2-oxobutanoate	2.040742795181741e-06	182892	10	8688	6	0.027807161327146404	True	0.00023608163745520398	True
11401	CHEBI_72657	19,20-DiHDPA	2.040742795181741e-06	182892	10	8688	6	0.027807161327146404	True	0.00023608163745520398	True
11027	SO_0000694	SNP	2.044446882409663e-06	182892	545	8688	52	0.02785763321971407	True	0.00023608163745520398	True
6705	UBERON_0012652	colorectum	2.1208345381137576e-06	182892	57	8688	13	0.02889849141633806	True	0.00024284446568351314	True
8457	GO_0071611	granulocyte colony-stimulating factor production	3.7106306165179083e-06	182892	28	8688	9	0.05056105278067302	False	0.0004213421065056085	True
247	UBERON_0001474	bone element	3.838271059854909e-06	182892	69	8688	14	0.05230028146158299	False	0.00043099634201016043	True
2519	CHEBI_51438	D-isoascorbic acid	3.858913380686891e-06	182892	43	8688	11	0.05258155372523957	False	0.00043099634201016043	True
1909	CHEBI_74304	(6Z,9Z,12Z,15Z,18Z,21Z)-3-oxotetracosahexaenoyl-CoA(4-)	4.3075987664045125e-06	182892	11	8688	6	0.05869534079102789	False	0.0004771978926099828	True
11097	GO_0018884	carbazole metabolic process	4.5311077020224674e-06	182892	22	8688	8	0.06174087354775814	False	0.0004979102705464367	True
9396	CHEBI_27329	xanthosine phosphate	4.680863428423902e-06	182892	7	8688	5	0.06378144507570409	False	0.0005102515606056327	True
4212	UBERON_0011919	yolk sac blood island	5.088791917410588e-06	182892	4	8688	4	0.06933987866663667	False	0.0005459832965876903	True
12190	GO_0070639	vitamin D2 metabolic process	5.088791917410588e-06	182892	4	8688	4	0.06933987866663667	False	0.0005459832965876903	True
1805	CHEBI_36003	decenoic acid	8.259563585763283e-06	182892	104	8688	17	0.1125448134196105	False	0.0008792563548407071	True
398	CHEBI_27810	resorcinol	9.567756192563806e-06	182892	24	8688	8	0.13037024587987442	False	0.0010106220610842979	True
8075	CHEBI_33284	nutrient	1.1828969215198292e-05	182892	3358	8688	214	0.16118153452629191	False	0.0012398579578945532	True
8949	CHEBI_25098	lyxoside	1.198960904966017e-05	182892	8	8688	5	0.16337041291066948	False	0.0012471023886310648	True
3286	GO_0030154	cell differentiation	1.4261172744886117e-05	182892	203	8688	25	0.19432273982181822	False	0.001472141968347108	True
2651	CHEBI_27844	2',3'-cyclic AMP	1.4730224629445532e-05	182892	13	8688	6	0.2007140408008248	False	0.001509128126321991	True
11958	PR_000000037	BMP receptor type-2	1.5109250705111496e-05	182892	58	8688	12	0.20587865010784923	False	0.0015364078366257405	True
9060	PR_000011634	oxidized low-density lipoprotein receptor 1	1.65270376185863e-05	182892	19	8688	7	0.2251974145908569	False	0.0016681289969693106	True
6931	GO_0031097	medial cortex	2.108017142503379e-05	182892	42	8688	10	0.2872384158375104	False	0.002112047175275812	True
4539	CHEBI_25212	metabolite	2.3383921305163767e-05	182892	344	8688	35	0.3186293117041615	False	0.002325761399300449	True
7047	UBERON_3010813	vent glands	2.4477443059167e-05	182892	5	8688	4	0.3335296391242096	False	0.002416881442929055	True
3522	CHEBI_72779	11-trans-LTE4	2.4735586203197267e-05	182892	14	8688	6	0.337047097604766	False	0.0024247992633436403	True
11645	CHEBI_26871	terpene alkaloid	2.591308838049718e-05	182892	9	8688	5	0.35309174227265455	False	0.002522083873376104	True
11841	GO_0050900	leukocyte migration	2.629873448329366e-05	182892	43	8688	10	0.35834655606935945	False	0.0025414649366621235	True
8569	UBERON_0001005	respiratory airway	3.160477069970019e-05	182892	571	8688	50	0.43064660555411477	False	0.003032722574324752	True
12671	CHEBI_50815	norgestimate	3.297152631821617e-05	182892	53	8688	11	0.4492700176120135	False	0.003141748374909185	True
9307	CHEBI_85855	diacylglycerol 46:7	3.956059734913269e-05	182892	15	8688	6	0.539052699479282	False	0.0037176048239950486	True
6624	CHEBI_86929	S b G-5,5-G b S A CH2	3.956059734913269e-05	182892	15	8688	6	0.539052699479282	False	0.0037176048239950486	True
9455	UBERON_0002204	musculoskeletal system	4.261461949232894e-05	182892	74	8688	13	0.5806668052024742	False	0.003977169898647083	True
10750	GO_0001501	skeletal system development	4.475711943745643e-05	182892	166	8688	21	0.6098605094547813	False	0.004148710948671982	True
4868	UBERON_0000310	breast	4.6332862207673716e-05	182892	1230	8688	90	0.6313315804417621	False	0.004265753921903798	True
11482	CHEBI_17933	calcidiol	4.978543395756633e-05	182892	10	8688	5	0.6783763231057989	False	0.0045225088207053255	True
12617	CHEBI_22314	alkali metal atom	4.978543395756633e-05	182892	10	8688	5	0.6783763231057989	False	0.0045225088207053255	True
5394	CHEBI_30863	5-azaorotic acid	5.0147895391811035e-05	182892	2476	8688	161	0.6833152226088172	False	0.004525266374892829	True
9886	GO_0009057	macromolecule catabolic process	6.0577097918219736e-05	182892	98	8688	15	0.8254235362336622	False	0.005409646534260913	True
10198	CHEBI_22651	ascorbate	6.074239833714368e-05	182892	16	8688	6	0.8276759197419198	False	0.005409646534260913	True
2780	PR_000009450	keratin, type II cytoskeletal 1	7.064749877882554e-05	182892	6	8688	4	0.9626428183602768	False	0.006170787297181261	True
13527	CHEBI_31186	alfacalcidol	7.064749877882554e-05	182892	6	8688	4	0.9626428183602768	False	0.006170787297181261	True
7046	CHEBI_4657	disopyramide	7.064749877882554e-05	182892	6	8688	4	0.9626428183602768	False	0.006170787297181261	True
6977	CHEBI_60641	methyl 5-aminolevulinate hydrochloride	7.219844615480128e-05	182892	48	8688	10	0.9837760273053223	False	0.006266089345893773	True
5218	CHEBI_83326	tedizolid phosphate	7.61541661270302e-05	182892	31	8688	8	1.0	False	0.006567573845866541	True
13456	CHEBI_26537	retinoid	8.437358815656275e-05	182892	124	8688	17	1.0	False	0.007230657309568076	True
4349	CHEBI_63991	15-epi-lipoxin B4	8.768363002205588e-05	182892	11	8688	5	1.0	False	0.007467357141753334	True
13476	CHEBI_73281	(2S)-versicolorone(1-)	0.00010715993839003233	182892	3	8688	3	1.0	False	0.008640007813624737	True
5987	GO_0033593	BRCA2-MAGE-D1 complex	0.00010715993839003233	182892	3	8688	3	1.0	False	0.008640007813624737	True
483	CHEBI_2874	Asimicin	0.00010715993839003233	182892	3	8688	3	1.0	False	0.008640007813624737	True
13202	CHEBI_64167	alpha-D-Manp-(1->3)-alpha-D-Manp-(1->2)-alpha-D-Manp	0.00010715993839003233	182892	3	8688	3	1.0	False	0.008640007813624737	True
11648	CHEBI_27355	xylulose phosphate	0.00010715993839003233	182892	3	8688	3	1.0	False	0.008640007813624737	True
11212	GO_0018977	1,1,1-trichloro-2,2-bis-(4-chlorophenyl)ethane metabolic process	0.00010715993839003233	182892	3	8688	3	1.0	False	0.008640007813624737	True
8478	GO_0036161	calcitonin secretion	0.00010715993839003233	182892	3	8688	3	1.0	False	0.008640007813624737	True
3520	CHEBI_70326	guttiferone A, (rel-(+))-	0.00010715993839003233	182892	3	8688	3	1.0	False	0.008640007813624737	True
10381	GO_0031151	histone methyltransferase activity (H3-K79 specific)	0.00010715993839003233	182892	3	8688	3	1.0	False	0.008640007813624737	True
3993	GO_0009294	DNA mediated transformation	0.00011826995926474456	182892	1060	8688	78	1.0	False	0.009479685087890643	True
12305	UBERON_0006954	mammary gland myoepithelium	0.00012969101158842125	182892	18	8688	6	1.0	False	0.01033432587078262	True
3941	CL_0002246	peripheral blood stem cell	0.0001444103612240489	182892	12	8688	5	1.0	False	0.011440323151388897	True
3209	CHEBI_67825	17beta,21beta-epoxyhopan-3-one	0.00015860301258368453	182892	7	8688	4	1.0	False	0.012420256606122329	True
117	CHEBI_63058	(2R,3S)-EHNA	0.00015860301258368453	182892	7	8688	4	1.0	False	0.012420256606122329	True
2735	UBERON_0001637	artery	0.00019130983864634382	182892	224	8688	24	1.0	False	0.01489593063654332	True
6956	PR_000001470	interleukin-28B	0.00022172029315600044	182892	1048	8688	76	1.0	False	0.01716568587808899	True
1441	UBERON_0001557	upper respiratory tract	0.0002494382594006748	182892	20	8688	6	1.0	False	0.019202518206743475	True
7125	PR_000009481	keratin, type II cytoskeletal 5	0.00030521641606996995	182892	8	8688	4	1.0	False	0.023233960253460396	True
12418	GO_0003163	sinoatrial node development	0.00030521641606996995	182892	8	8688	4	1.0	False	0.023233960253460396	True
12612	UBERON_0000054	macula	0.0003369742579735477	182892	14	8688	5	1.0	False	0.02550895132859756	True
10091	GO_0006955	immune response	0.00040236844617606664	182892	413	8688	36	1.0	False	0.03012099276315116	True
10511	PR_000021995	dual specificity mitogen-activated protein kinase kinase 4 phosphorylated form	0.0004133733778591859	182892	4	8688	3	1.0	False	0.03012099276315116	True
11370	PR_000004717	transcription factor TFIIIB component B''	0.0004133733778591859	182892	4	8688	3	1.0	False	0.03012099276315116	True
3976	GO_0006654	phosphatidic acid biosynthetic process	0.0004133733778591859	182892	4	8688	3	1.0	False	0.03012099276315116	True
2534	CHEBI_26124	phytosteroid	0.0004133733778591859	182892	4	8688	3	1.0	False	0.03012099276315116	True
3797	CHEBI_43176	hydroxy group	0.0004133733778591859	182892	4	8688	3	1.0	False	0.03012099276315116	True
8956	GO_0002775	antimicrobial peptide production	0.0004133733778591859	182892	4	8688	3	1.0	False	0.03012099276315116	True
6501	GO_0044297	cell body	0.0005218610586529114	182892	31	8688	7	1.0	False	0.03751827397633542	True
4061	CHEBI_67376	dihydrooroxylin A	0.0005286590784864524	182892	9	8688	4	1.0	False	0.03751827397633542	True
11023	CHEBI_73735	gadoterate	0.0005286590784864524	182892	9	8688	4	1.0	False	0.03751827397633542	True
4915	CHEBI_63912	19-hydroxyprostaglandin H2	0.0005286590784864524	182892	9	8688	4	1.0	False	0.03751827397633542	True
7234	PR_000009655	laminin subunit beta-2	0.0005286590784864524	182892	9	8688	4	1.0	False	0.03751827397633542	True
9718	CHEBI_16158	steroid sulfate	0.0005563771551832856	182892	299	8688	28	1.0	False	0.03928080371257746	True
2835	GO_0051162	L-arabitol metabolic process	0.0006037688380752215	182892	41	8688	8	1.0	False	0.04240698034852045	True
1516	CL_0000312	keratinocyte	0.0006407344295214569	182892	32	8688	7	1.0	False	0.04477255044440704	True
3063	UBERON_0002516	epiphyseal plate	0.0006788350381019571	182892	16	8688	5	1.0	False	0.04601893646356849	True
9186	CL_0000080	circulating cell	0.0006788350381019571	182892	16	8688	5	1.0	False	0.04601893646356849	True
7066	GO_0003313	heart rudiment development	0.0006788350381019571	182892	16	8688	5	1.0	False	0.04601893646356849	True
2951	CHEBI_30207	phosphorus(.)	0.0006788350381019571	182892	16	8688	5	1.0	False	0.04601893646356849	True
7877	CHEBI_10033	warfarin	0.0006788350381019571	182892	16	8688	5	1.0	False	0.04601893646356849	True
3344	GO_0007585	respiratory gaseous exchange by respiratory system	0.0006788350381019571	182892	16	8688	5	1.0	False	0.04601893646356849	True
10526	CL_0000960	T3 B cell	0.0007046408234921905	182892	52	8688	9	1.0	False	0.047531860697547466	True
7950	CHEBI_17579	beta-carotene	0.0008479081749319417	182892	10	8688	4	1.0	False	0.05663527839030705	False
7185	UBERON_0003109	parapophysis	0.0008479081749319417	182892	10	8688	4	1.0	False	0.05663527839030705	False
3895	PR_000006770	cytoplasmic dynein 1 heavy chain 1	0.0008840254776170063	182892	112	8688	14	1.0	False	0.058759664185411356	False
