	OBO_ID	OBO_LABEL	ENRICHMENT_P_VALUE	TOTAL_POPULATION	TOTAL_SUCCESSES	TOTAL_IGNORANCE_CATEGORY	TOTAL_SUCCESSES_IN_IGNORANCE_CATEGORY	BONFERRONI_CRRECTION_P_VALUE	BONFERRONI_CRRECTION_P_VALUE_REJECT	BH_CRRECTION_P_VALUE	BH_CRRECTION_P_VALUE_REJECT
9566	CL_0000542	lymphocyte	2.3294646853684808e-136	182892	185	33885	185	3.174128580283092e-132	True	7.213928591552482e-134	True
2404	SO_0000167	promoter	1.2273914210553382e-133	182892	760	33885	446	1.672443550330004e-129	True	3.716541222955564e-131	True
4736	CL_0000236	B cell	1.0907492392012052e-132	182892	180	33885	180	1.4862549133355622e-128	True	3.2309889420338307e-130	True
1482	GO_0042593	glucose homeostasis	4.684629447769555e-129	182892	179	33885	178	6.383276085530796e-125	True	1.3581438479852758e-126	True
1441	NCBITaxon_9986	Oryctolagus cuniculus	6.942086437606853e-129	182892	2985	33885	1110	9.459286979883099e-125	True	1.9706847874756453e-126	True
6844	GO_0008152	metabolic process	4.1809910537744564e-126	182892	4804	33885	1573	5.697018409873074e-122	True	1.1626568183414438e-123	True
7013	UBERON_0001911	mammary gland	7.010972721183912e-124	182892	168	33885	168	9.553151429885199e-120	True	1.9106302859770396e-121	True
5000	CHEBI_17823	calcitriol	2.058922987115344e-122	182892	166	33885	166	2.805488462243368e-118	True	5.500957769104643e-120	True
3395	CHEBI_35366	fatty acid	7.972689957474594e-120	182892	1237	33885	588	1.086358733605488e-115	True	2.0891514107797847e-117	True
8162	GO_0032991	protein-containing complex	1.7751608913610255e-119	182892	162	33885	162	2.4188342305685336e-115	True	4.5638381708840255e-117	True
11969	GO_0006953	acute-phase response	1.5299150533020316e-116	182892	158	33885	158	2.084662251629348e-112	True	3.86048565116546e-114	True
13521	GO_0071514	genetic imprinting	1.4871736055972242e-114	182892	495	33885	322	2.0264227549867776e-110	True	3.6844050090668682e-112	True
3057	CHEBI_16480	nitric oxide	6.148507396769047e-110	182892	149	33885	149	8.377956178837503e-106	True	1.4960636033638402e-107	True
9232	UBERON_0000948	heart	9.189547500579657e-109	182892	1317	33885	594	1.252167742428984e-104	True	2.1967855130333055e-106	True
10258	CL_0000540	neuron	5.235130591930231e-105	182892	984	33885	483	7.133388944564132e-101	True	1.2298946456145056e-102	True
3	CHEBI_17855	triglyceride	2.260050088198516e-103	182892	655	33885	369	3.079544250179298e-99	True	5.219566525727624e-101	True
11204	SO_0001026	genome	2.1479104242556727e-97	182892	1164	33885	527	2.92674274409078e-93	True	4.8779045734846325e-95	True
13309	UBERON_0001913	milk	8.880891909620305e-96	182892	1397	33885	594	1.2101103316048627e-91	True	1.9837874288604308e-93	True
11261	PR_000001470	interleukin-28B	4.917077385637502e-95	182892	1048	33885	487	6.70000964566966e-91	True	1.0806467170434935e-92	True
5972	UBERON_0001969	blood plasma	8.048735302030178e-92	182892	2382	33885	859	1.096720672254632e-87	True	1.740826463896241e-89	True
6047	GO_0043277	apoptotic cell clearance	1.3459790974005957e-91	182892	124	33885	124	1.8340311181180516e-87	True	2.865673622059456e-89	True
6612	CHEBI_15358	histone	7.085602060087285e-91	182892	612	33885	337	9.654841367074935e-87	True	1.4853602103192206e-88	True
9726	GO_0005886	plasma membrane	7.286394573726139e-91	182892	123	33885	123	9.928441246159238e-87	True	1.5043092797210968e-88	True
1463	CL_0000576	monocyte	3.944360205305952e-90	182892	122	33885	122	5.374585215749891e-86	True	8.02176897873118e-88	True
9158	PR_000013057	peroxisome proliferator-activated receptor delta	4.71404727087964e-89	182892	400	33885	256	6.423360811300598e-85	True	9.446118840147937e-87	True
4132	GO_0030324	lung development	1.8328996629213303e-86	182892	117	33885	117	2.4975090806966046e-82	True	3.6195783778211665e-84	True
3837	NCBITaxon_9606	Homo sapiens	4.089801873643951e-85	182892	4580	33885	1389	5.572764033027248e-81	True	7.961091475753211e-83	True
1777	GO_0031012	extracellular matrix	4.606671494563521e-82	182892	111	33885	111	6.277050578492253e-78	True	8.840916307735569e-80	True
8798	PR_000001204	C-C chemokine receptor type 8	3.8194261138933305e-79	182892	270	33885	192	5.204350022791052e-75	True	7.228263920543127e-77	True
11239	CHEBI_29108	calcium(2+)	2.1378280030989995e-78	182892	106	33885	106	2.913004437022697e-74	True	3.9904170370173925e-76	True
12665	CL_0000125	glial cell	6.259412901082129e-77	182892	104	33885	104	8.529076019014509e-73	True	1.152577840407366e-74	True
11916	GO_0008150	biological_process	3.386868228807481e-76	182892	103	33885	103	4.614946648573074e-72	True	6.153262198097431e-74	True
9472	GO_0046323	glucose import	2.8776234287709584e-74	182892	104	33885	103	3.9210496840433077e-70	True	5.159275900056985e-72	True
12560	PR_000043452	core histone	3.692051580631379e-74	182892	492	33885	272	5.030789483768317e-70	True	6.533492836062749e-72	True
9465	UBERON_0002371	bone marrow	8.495059705907014e-72	182892	97	33885	97	1.1575368355268898e-67	True	1.465236500666949e-69	True
8941	CHEBI_41879	dexamethasone	8.495059705907014e-72	182892	97	33885	97	1.1575368355268898e-67	True	1.465236500666949e-69	True
12724	CL_0000738	leukocyte	2.1838973643880195e-71	182892	321	33885	205	2.9757785487151154e-67	True	3.719723185893894e-69	True
2605	GO_0006952	defense response	1.3449590222630775e-69	182892	94	33885	94	1.8326411637356695e-65	True	2.2625199552292216e-67	True
3494	NCBITaxon_33208	Metazoa	5.567504642140608e-69	182892	6068	33885	1673	7.586281825380793e-65	True	9.251563201683893e-67	True
3537	GO_0001503	ossification	7.275602634413402e-69	182892	93	33885	93	9.913736149651702e-65	True	1.1802066844823455e-66	True
3610	GO_0045087	innate immune response	7.275602634413402e-69	182892	93	33885	93	9.913736149651702e-65	True	1.1802066844823455e-66	True
8869	UBERON_0000062	organ	2.0867934898845192e-67	182892	631	33885	309	2.8434648093166456e-63	True	3.345252716843113e-65	True
12120	CHEBI_59132	antigen	2.8027681648542035e-66	182892	426	33885	238	3.8190519014303376e-62	True	4.4407580249189977e-64	True
9312	UBERON_0002109	pair of nares	2.8246199439729055e-64	182892	147	33885	122	3.848827135657481e-60	True	4.42393923638791e-62	True
6657	UBERON_0000473	testis	2.8829483869650556e-62	182892	84	33885	84	3.9283054720785845e-58	True	4.463983490998392e-60	True
2678	UBERON_0000995	uterus	8.324132843073898e-61	182892	474	33885	247	1.1342463411972494e-56	True	1.2744340912328644e-58	True
2426	CHEBI_16199	urea	2.4660094528532357e-59	182892	80	33885	80	3.360184480457819e-55	True	3.7335383116197986e-57	True
6202	GO_0009986	cell surface	1.3335460752711604e-58	182892	79	33885	79	1.8170898821644832e-54	True	1.996802068312619e-56	True
12568	UBERON_0002369	adrenal gland	5.2927300335051746e-58	182892	168	33885	127	7.211873943654151e-54	True	7.8389934170153815e-56	True
528	UBERON_0001264	pancreas	6.309833038916771e-58	182892	337	33885	195	8.597778498827992e-54	True	9.244923117019347e-56	True
6155	CL_0000235	macrophage	1.5655886602254972e-57	182892	277	33885	172	2.1332711084232625e-53	True	2.2694373493864494e-55	True
5237	UBERON_0000088	trophoblast	1.7395459541950104e-57	182892	169	33885	127	2.3703053171861214e-53	True	2.4950582286169696e-55	True
10184	GO_0006508	proteolysis	3.899448510011019e-57	182892	77	33885	77	5.313388539741015e-53	True	5.53477972889689e-55	True
12874	CL_0000097	mast cell	1.1401355156762219e-55	182892	75	33885	75	1.55354865366042e-51	True	1.6015965501653814e-53	True
11404	CHEBI_16113	cholesterol	7.61455326887917e-55	182892	634	33885	289	1.0375590284174758e-50	True	1.058733702466812e-52	True
12372	UBERON_0001986	endothelium	7.864532383210614e-55	182892	483	33885	241	1.0716211825362783e-50	True	1.0824456389255336e-52	True
5287	CHEBI_16382	iodide	9.324608396722364e-54	182892	482	33885	239	1.2705711401373894e-49	True	1.2705711401373893e-51	True
8737	GO_0001890	placenta development	2.6966538463775187e-53	182892	132	33885	106	3.674460531074007e-49	True	3.6380797337366403e-51	True
11642	UBERON_0001005	respiratory airway	1.0652906123586655e-51	182892	571	33885	264	1.4515649883999176e-47	True	1.4231029298038407e-49	True
2386	GO_0005576	extracellular region	2.848164526583206e-51	182892	69	33885	69	3.8809089839222763e-47	True	3.76787279992454e-49	True
4924	CL_0000081	blood cell	2.4327349255522395e-48	182892	65	33885	65	3.314844609557482e-44	True	3.187350586112963e-46	True
5689	CL_0000232	erythrocyte	3.402903203538304e-48	182892	463	33885	224	4.636795905141294e-44	True	4.415996100134565e-46	True
1420	GO_0006094	gluconeogenesis	1.2782512695294862e-47	182892	237	33885	145	1.7417451798608778e-43	True	1.643155830057432e-45	True
4826	UBERON_0001135	smooth muscle tissue	1.3150766116692378e-47	182892	64	33885	64	1.7919233910605035e-43	True	1.6591883250560218e-45	True
13431	CHEBI_60311	thyroid hormone	1.3150766116692378e-47	182892	64	33885	64	1.7919233910605035e-43	True	1.6591883250560218e-45	True
10733	CHEBI_9437	temoporfin	3.84266200570528e-46	182892	62	33885	62	5.2360112489740145e-42	True	4.803680044930288e-44	True
8179	SO_0000694	SNP	1.9264988906019313e-45	182892	545	33885	245	2.6250473883341917e-41	True	2.386406716667447e-43	True
11104	GO_0019395	fatty acid oxidation	2.077098324039615e-45	182892	61	33885	61	2.8302541763363797e-41	True	2.5497785372399815e-43	True
11344	UBERON_0000483	epithelium	1.0577116550854998e-44	182892	172	33885	116	1.4412379012195021e-40	True	1.2868195546602698e-42	True
9193	PR_000004968	calretinin	3.027423855921976e-44	182892	110	33885	88	4.125167746079284e-40	True	3.65059092573388e-42	True
7237	CL_0000623	natural killer cell	5.500942307183162e-44	182892	150	33885	106	7.495583987767777e-40	True	6.575073673480506e-42	True
3262	CHEBI_17842	trypanothione	6.068416785961291e-44	182892	59	33885	59	8.268824712550855e-40	True	7.190282358739873e-42	True
1813	GO_0005622	intracellular anatomical structure	2.220814991695825e-43	182892	251	33885	145	3.026082507684731e-39	True	2.608691816969596e-41	True
130	CL_0000451	dendritic cell	3.2799624990677093e-43	182892	58	33885	58	4.469276901229661e-39	True	3.819894787375778e-41	True
5163	PR_000005170	CD37 molecule	1.2139756718191105e-42	182892	117	33885	90	1.65416325042072e-38	True	1.4018332630684068e-40	True
5717	UBERON_0000922	embryo	1.3888201204356663e-42	182892	1247	33885	434	1.8924062961056388e-38	True	1.590257391685411e-40	True
8786	CL_0000351	trophoblast cell	1.7727679543793494e-42	182892	57	33885	57	2.4155736146373015e-38	True	2.012978012197751e-40	True
8523	PR_000015065	solute carrier family 2, facilitated glucose transporter member 3	5.0543693996272534e-42	182892	116	33885	89	6.887083743932096e-38	True	5.691804747051318e-40	True
5871	CHEBI_24261	glucocorticoid	3.5154491265925316e-41	182892	299	33885	159	4.790150979894984e-37	True	3.926353262209003e-39	True
4493	PR_000006101	cytochrome P450 1A1	1.4572927533610752e-40	182892	151	33885	103	1.985707105729801e-36	True	1.6143960209185374e-38	True
8238	UBERON_0007023	adult organism	2.469556435484541e-40	182892	4365	33885	1161	3.3650175989912353e-36	True	2.7137238701542223e-38	True
2111	CL_0000784	plasmacytoid dendritic cell	1.512444075371762e-39	182892	53	33885	53	2.060856297101563e-35	True	1.6486850376812504e-37	True
8745	UBERON_0001555	digestive tract	2.0720777489763986e-39	182892	967	33885	352	2.8234131407552405e-35	True	2.2408040799644767e-37	True
10461	CHEBI_27881	resveratrol	2.3869320399848905e-37	182892	50	33885	50	3.2524335976834114e-33	True	2.5609713367585917e-35	True
8431	GO_0005737	cytoplasm	1.2898504991233082e-36	182892	49	33885	49	1.7575502901054198e-32	True	1.3624420853530388e-34	True
13177	GO_0016477	cell migration	1.2898504991233082e-36	182892	49	33885	49	1.7575502901054198e-32	True	1.3624420853530388e-34	True
4587	GO_0030154	cell differentiation	5.7085105381910815e-36	182892	203	33885	118	7.778416459339168e-32	True	5.983397276414744e-34	True
13359	UBERON_0002331	umbilical cord	6.900178166928932e-36	182892	254	33885	136	9.402182770257362e-32	True	7.1772387559216506e-34	True
9661	GO_0005856	cytoskeleton	3.7662282878056557e-35	182892	47	33885	47	5.131862664963987e-31	True	3.858543357115779e-33	True
13561	GO_0001889	liver development	3.7662282878056557e-35	182892	47	33885	47	5.131862664963987e-31	True	3.858543357115779e-33	True
10537	GO_0042592	homeostatic process	1.0677716284364352e-33	182892	315	33885	153	1.4549456209074866e-29	True	1.0857803141100647e-31	True
6561	CL_0000066	epithelial cell	1.0995932604924208e-33	182892	45	33885	45	1.4983057767469725e-29	True	1.1098561309236835e-31	True
11771	GO_0010468	regulation of gene expression	1.3416445678800241e-33	182892	104	33885	76	1.8281248881933208e-29	True	1.3442094766127358e-31	True
9368	PR_000001309	CD70 molecule	9.610206228089216e-33	182892	212	33885	117	1.3094867006394367e-28	True	9.55829708495939e-31	True
1661	GO_0000785	chromatin	9.93405430592812e-33	182892	198	33885	112	1.3536142397257657e-28	True	9.808798838592506e-31	True
2271	GO_0006412	translation	1.3078483020626142e-32	182892	411	33885	181	1.782074096390518e-28	True	1.2820676952449772e-30	True
11568	CL_0000136	fat cell	1.8954770533129473e-32	182892	432	33885	187	2.582777032844222e-28	True	1.8448407377458726e-30	True
5787	PR_000008777	17-beta-hydroxysteroid dehydrogenase 13	2.0915842234993336e-32	182892	102	33885	74	2.849992662940192e-28	True	2.0212713921561644e-30	True
10156	CL_0000233	platelet	4.7967844357050236e-32	182892	157	33885	96	6.536098472091665e-28	True	4.602886247951877e-30	True
5852	PR_000015190	sodium- and chloride-dependent glycine transporter 2	5.083278796804633e-32	182892	134	33885	87	6.926475688525993e-28	True	4.8436892926755195e-30	True
7509	GO_0005840	ribosome	8.93710958254011e-32	182892	108	33885	76	1.2177705517169154e-27	True	8.456739942478579e-30	True
2597	SO_0000276	miRNA	1.0534611134944926e-31	182892	662	33885	251	1.4354461132475957e-27	True	9.899628367224798e-30	True
2890	PR_000008989	interleukin-1 family member 7	1.123620219029098e-31	182892	364	33885	165	1.531044910449049e-27	True	1.0486608975678416e-29	True
1617	CL_0000815	regulatory T cell	1.734370088566655e-31	182892	42	33885	42	2.363252682680924e-27	True	1.5755017884539493e-29	True
5654	CL_0000182	hepatocyte	1.734370088566655e-31	182892	42	33885	42	2.363252682680924e-27	True	1.5755017884539493e-29	True
1902	UBERON_0002186	bronchiole	1.734370088566655e-31	182892	42	33885	42	2.363252682680924e-27	True	1.5755017884539493e-29	True
9973	CHEBI_3387	carbamazepine	1.734370088566655e-31	182892	42	33885	42	2.363252682680924e-27	True	1.5755017884539493e-29	True
8751	PR_000001383	interleukin-22	8.524724151421102e-31	182892	161	33885	96	1.1615789128726394e-26	True	7.692575581938009e-29	True
9587	GO_0001764	neuron migration	9.370384858541331e-31	182892	41	33885	41	1.2768086408248418e-26	True	8.400056847531854e-29	True
1105	GO_0046903	secretion	4.861203312630084e-30	182892	180	33885	102	6.623875633789752e-26	True	4.329330479601145e-28	True
11087	CHEBI_17874	dihydrozeatin	8.886375031213507e-30	182892	1039	33885	345	1.2108574617531524e-25	True	7.862710790604886e-28	True
4850	UBERON_0002106	spleen	4.051406244566077e-28	182892	162	33885	93	5.520446148845736e-24	True	3.5615781605456366e-26	True
4065	UBERON_0004288	skeleton	1.1163391289448623e-27	182892	793	33885	276	1.5211236971002693e-23	True	9.750792930129931e-26	True
6393	GO_0071735	IgG immunoglobulin complex	1.4030078157373873e-27	182892	178	33885	98	1.911738449723764e-23	True	1.217667802371824e-25	True
534	PR_000006852	transcription factor E2F1	2.826194886143301e-27	182892	88	33885	63	3.850973151858862e-23	True	2.437324779657508e-25	True
386	GO_0071743	IgE immunoglobulin complex, circulating	3.0435710742252036e-27	182892	672	33885	243	4.1471699457392626e-23	True	2.6082829847416745e-25	True
5456	GO_0005829	cytosol	4.3120009603852156e-27	182892	36	33885	36	5.875532508620894e-23	True	3.672207817888059e-25	True
8933	CHEBI_35222	inhibitor	1.011845049463711e-26	182892	486	33885	191	1.3787400643992526e-22	True	8.563602884467408e-25	True
4801	GO_0008283	cell proliferation	2.9771956146679504e-26	182892	689	33885	245	4.0567267445465494e-22	True	2.5041523114484874e-24	True
2524	SO_0001060	sequence_variant	3.413842142881193e-26	182892	128	33885	78	4.651701303889914e-22	True	2.853804480914057e-24	True
3308	CL_0000767	basophil	1.2582711200046385e-25	182892	34	33885	34	1.7145202281183206e-21	True	1.0454391634867807e-23	True
4939	CHEBI_36357	polyatomic entity	1.267732054151053e-25	182892	772	33885	265	1.7274116969862248e-21	True	1.0469161799916515e-23	True
11806	GO_0007369	gastrulation	3.148129214533256e-25	182892	72	33885	54	4.2896408677230145e-21	True	2.5841210046524182e-23	True
3434	PR_000011509	nuclear pore complex protein Nup155	3.4066775972987277e-25	182892	118	33885	73	4.641938894079247e-21	True	2.7796041281911653e-23	True
5591	UBERON_0001088	urine	5.044662057293223e-25	182892	1167	33885	362	6.873856519267746e-21	True	4.091581261468896e-23	True
8376	PR_000013059	peroxisome proliferator-activated receptor gamma coactivator 1-alpha	6.3077403091468545e-25	182892	96	33885	64	8.594926945243504e-21	True	5.085755588901482e-23	True
7503	PR_000004155	apolipoprotein E	6.666471756501685e-25	182892	204	33885	103	9.083734415409196e-21	True	5.34337318553482e-23	True
10567	PR_000002060	lysosome-associated membrane glycoprotein 1	9.374726800696017e-25	182892	94	33885	63	1.2774002738628392e-20	True	7.470177040133563e-23	True
2001	UBERON_0000344	mucosa	1.4434308296572073e-24	182892	167	33885	90	1.9668188484909106e-20	True	1.1434993305179714e-22	True
6136	CL_0000312	keratinocyte	3.671366926883113e-24	182892	32	33885	32	5.00260457457093e-20	True	2.891678944838688e-22	True
6119	SO_0001023	allele	3.815888371652617e-24	182892	581	33885	211	5.1995294952138563e-20	True	2.988235342076929e-22	True
1241	GO_0007566	embryo implantation	5.162858616077646e-24	182892	571	33885	208	7.0349111502674e-20	True	4.019949228724229e-22	True
5996	PR_000000134	tumor necrosis factor alpha	5.711202874390933e-24	182892	227	33885	109	7.782085036645086e-20	True	4.421639225366527e-22	True
7041	PR_000003059	protein kinase C beta type	6.411978677083186e-24	182892	77	33885	55	8.736962145393549e-20	True	4.936136805307089e-22	True
518	GO_0071746	IgA immunoglobulin complex, circulating	1.2621081791464076e-23	182892	115	33885	70	1.719748604904895e-19	True	9.63179981486307e-22	True
11968	CHEBI_24384	glycogens	1.2652958805669231e-23	182892	97	33885	63	1.7240921668604893e-19	True	9.63179981486307e-22	True
12083	PR_000008210	glutathione peroxidase 1	1.562428069984883e-23	182892	126	33885	74	2.1289644881614016e-19	True	1.1827580489785565e-21	True
811	UBERON_0004363	pharyngeal arch artery	1.89028374770315e-23	182892	50	33885	42	2.5757006346203124e-19	True	1.4230390246521063e-21	True
12292	GO_0002020	protease binding	1.983073868494116e-23	182892	31	33885	31	2.7021364532100825e-19	True	1.4846903589066389e-21	True
6518	CHEBI_28757	fructose	6.597138767667245e-23	182892	174	33885	90	8.989261284823387e-19	True	4.912164636515512e-21	True
4851	CHEBI_17996	chloride	9.669265033345451e-23	182892	126	33885	73	1.3175340534436512e-18	True	7.160511160019844e-21	True
12533	CL_0000476	thyrotroph	9.940526114285725e-23	182892	33	33885	32	1.3544960883325728e-18	True	7.28544686959558e-21	True
6070	UBERON_0001637	artery	9.944907659949932e-23	182892	224	33885	106	1.3550931177447778e-18	True	7.28544686959558e-21	True
8618	CHEBI_86926	S a S b S	2.3659045973730974e-22	182892	226	33885	106	3.2237816043805827e-18	True	1.723947382021702e-20	True
8270	UBERON_0007311	sputum	2.3796750870379395e-22	182892	88	33885	58	3.2425452735978963e-18	True	1.7247581242542003e-20	True
7968	GO_0008610	lipid biosynthetic process	2.9587528449580205e-22	182892	282	33885	123	4.0315966265397984e-18	True	2.133119908222116e-20	True
12488	CHEBI_17026	progesterone	4.0102985650622976e-22	182892	397	33885	156	5.464432824753887e-18	True	2.876017276186256e-20	True
10444	GO_0051726	regulation of cell cycle	5.785351272595736e-22	182892	29	33885	29	7.883119644038949e-18	True	4.1057914812702866e-20	True
5005	PR_000013049	inorganic pyrophosphatase 2, mitochondrial	5.785351272595736e-22	182892	29	33885	29	7.883119644038949e-18	True	4.1057914812702866e-20	True
1796	PR_000014662	selenoprotein W	7.076007110154266e-22	182892	70	33885	50	9.641767288296203e-18	True	4.995734346267463e-20	True
2883	UBERON_0001285	nephron	1.796697857556007e-21	182892	218	33885	102	2.4481805007058152e-17	True	1.2619487117040285e-19	True
3484	PR_000002030	alpha-type platelet-derived growth factor receptor	2.9309157361958185e-21	182892	60	33885	45	3.9936657821404224e-17	True	2.0480337344309857e-19	True
11890	CL_0000763	myeloid cell	3.1247082595508353e-21	182892	28	33885	28	4.257727474463968e-17	True	2.1723099359510044e-19	True
6496	CHEBI_15354	choline	6.178502290986691e-21	182892	842	33885	269	8.418827221698465e-17	True	4.273516356192114e-19	True
8144	GO_0030425	dendrite	6.937404716798449e-21	182892	82	33885	54	9.452907667109566e-17	True	4.774195791469478e-19	True
377	GO_0005854	nascent polypeptide-associated complex	7.614922021686845e-21	182892	44	33885	37	1.0376092746750495e-16	True	5.214116958166077e-19	True
10165	UBERON_0001977	blood serum	8.056340333748e-21	182892	3424	33885	852	1.0977569338765024e-16	True	5.488784669382512e-19	True
12986	GO_0007416	synapse assembly	1.0631958846901509e-20	182892	85	33885	55	1.4487107124787997e-16	True	7.20751598248159e-19	True
9845	CHEBI_16865	gamma-aminobutyric acid	1.098830032634614e-20	182892	166	33885	84	1.497265802467925e-16	True	7.41220694291052e-19	True
6242	GO_0001822	kidney development	1.1525626183998491e-20	182892	306	33885	127	1.5704818238316343e-16	True	7.736363664195242e-19	True
11922	UBERON_0000992	ovary	1.177688291025878e-20	182892	427	33885	161	1.6047180653518615e-16	True	7.866265026234615e-19	True
4523	GO_0060612	adipose tissue development	1.6012099268992818e-20	182892	233	33885	105	2.1818086463929613e-16	True	1.0642969006794934e-18	True
9471	CHEBI_49706	perchlorate	2.1961411603066993e-20	182892	267	33885	115	2.9924619450339084e-16	True	1.452651429628111e-18	True
8670	NCBITaxon_39107	Murinae	6.165134572028846e-20	182892	185	33885	89	8.400612367846506e-16	True	4.058266844370293e-18	True
4443	CHEBI_28790	serotonin	6.859726841016538e-20	182892	179	33885	87	9.347063793569135e-16	True	4.493780669985161e-18	True
5151	GO_0006935	chemotaxis	9.114599763711958e-20	182892	26	33885	26	1.2419553638033913e-15	True	5.942370161738715e-18	True
6101	CHEBI_26537	retinoid	1.7046798434723205e-19	182892	124	33885	68	2.3227967547153837e-15	True	1.1060936927216114e-17	True
3496	PR_000003555	ATP-binding cassette sub-family C member 10	1.8135120480224652e-19	182892	31	33885	29	2.471091516635411e-15	True	1.171133420206356e-17	True
1309	GO_0005777	peroxisome	2.73993336171302e-19	182892	69	33885	47	3.733433198670161e-15	True	1.7610533955991326e-17	True
