OBO_ID	OBO_LABEL	COVERAGE	IGNORANCE-BASE (Y, N)	IGNORANCE (Y, N)	NOT IGNORANCE(Y, N)	GENERAL INDEX	GENERAL BONFERRONI P-VALUE	GENERAL BENGAMINI-HOCHBERG P-VALUE	IGNORANCE INDEX	IGNORANCE BONFERRONI P-VALUE	IGNORANCE BENGAMINI-HOCHBERG P-VALUE
CL_1001586	RNA processing	4	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CHEBI_58211	RNA processing	1	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CL_1000458	RNA processing	4	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
GO_0005525	RNA processing	2	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
UBERON_0002072	RNA processing	1	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
GO_0005575	RNA processing	1	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PR_Q53G44	RNA processing	1	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PR_000008908	RNA processing	1	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
GO_0003674	RNA processing	3	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
GO_0005737	cytoplasm	7	Y	Y	Y	103	2.19476381724267e-81	2.1103498242717984e-83	9124	1.0	1.0
GO_0006955	immune response	7	Y	Y	Y	0	0.0	0.0	12	8.228043782484152e-24	6.3292644480647325e-25
UBERON_0001744	lymphoid tissue	6	Y	Y	Y	594	1.7190788172817565e-08	2.8843604316807997e-11	8543	1.0	1.0
GO_0030246	lymphoid tissue	4	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CL_0000763	myeloid cell	5	Y	Y	Y	187	1.6247772602404178e-32	8.596705080637129e-35	6801	1.0	1.0
PR_Q5QGZ9	myeloid cell	1	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
UBERON_0008952	upper lobe of left lung	2	Y	N	Y	6339	1.0	0.3342218204141381	10447	1.0	1.0
CHEBI_2504	aflatoxin B1	12	Y	Y	Y	593	1.7190788172817565e-08	2.8843604316807997e-11	1639	1.0	1.0
PR_000005559	C-type lectin domain family 12 member A	1	Y	N	Y	7896	1.0	0.3342218204141381	11327	1.0	1.0
GO_0030545	C-type lectin domain family 12 member A	1	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
GO_0005886	plasma membrane	18	Y	Y	Y	67	1.695697874969535e-137	2.4936733455434343e-139	603	1.0	1.0
GO_0070821	plasma membrane	5	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
GO_0035579	plasma membrane	4	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CL_0000564	neutrophilic promyelocyte	3	Y	N	Y	3855	1.0	0.11214271133478153	11372	1.0	1.0
CL_0000451	dendritic cell	5	Y	Y	Y	114	3.627771939925838e-70	3.154584295587685e-72	6456	1.0	1.0
UBERON_0002113	kidney	1	Y	Y	Y	18	0.0	0.0	145	1.0	0.08143058133579288
GO_2001199	kidney	1	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CHEBI_39867	kidney	11	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CL_0000860	kidney	4	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PR_Q96HP8	kidney	1	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PR_000032564	kidney	1	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
UBERON_0001114	kidney	5	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
GO_0031638	zymogen activation	1	Y	N	Y	8084	1.0	0.3342218204141381	10119	1.0	1.0
CHEBI_67246	zymogen activation	1	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CHEBI_25016	zymogen activation	1	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
GO_0005576	extracellular region	14	Y	Y	Y	101	1.367472425989577e-84	1.3406592411662516e-86	6816	1.0	1.0
GO_0005615	extracellular space	13	Y	Y	Y	550	2.720077688706975e-09	4.909887524741831e-12	6394	1.0	1.0
GO_2000296	extracellular space	1	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
GO_0098869	extracellular space	1	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CHEBI_50868	extracellular space	1	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CHEBI_67244	extracellular space	1	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SO_0000704	gene	9	Y	Y	Y	25	0.0	0.0	0	2.085820515635346e-137	2.085820515635346e-137
GO_0042542	gene	1	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
GO_1904724	gene	4	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PR_P00738	gene	1	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
GO_0051354	gene	1	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
GO_0031838	gene	1	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CHEBI_17823	calcitriol	1	Y	Y	Y	56	1.343064100784599e-177	2.356252808394033e-179	206	1.0	0.3083339461438712
GO_0030492	calcitriol	1	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
GO_0004252	calcitriol	2	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PR_000008725	calcitriol	1	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CHEBI_31183	calcitriol	1	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CL_0000182	hepatocyte	3	Y	Y	Y	145	1.5521439911371634e-48	1.055880266079703e-50	3060	1.0	1.0
GO_0071682	hepatocyte	1	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CHEBI_7959	hepatocyte	1	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
GO_0016209	hepatocyte	1	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
GO_0010942	hepatocyte	1	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CHEBI_27889	lead(0)	1	Y	Y	Y	520	4.3038762634982607e-10	8.244973684862569e-13	218	1.0	0.38505333628699495
GO_0002526	lead(0)	2	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
GO_0035580	lead(0)	6	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
GO_0072562	lead(0)	5	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
GO_0042742	defense response to bacterium	3	Y	Y	Y	1366	0.27631780941535045	0.00020037549631279943	6299	1.0	1.0
GO_0006953	acute-phase response	2	Y	Y	Y	60	9.615158601652821e-157	1.5762555084676755e-158	89	0.1945424122570059	0.0021615823584111766
GO_0070062	extracellular exosome	11	Y	Y	Y	958	0.0010950517053118175	1.1359457523981514e-06	1607	1.0	1.0
GO_0006952	defense response	2	Y	Y	Y	90	8.239219100764614e-96	9.054086923917162e-98	221	1.0	0.4145127360833191
GO_0035987	defense response	1	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
GO_0010628	positive regulation of gene expression	2	Y	Y	Y	519	4.3038762634982607e-10	8.244973684862569e-13	2471	1.0	1.0
GO_1903980	positive regulation of gene expression	1	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
GO_0030198	positive regulation of gene expression	1	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PR_P22894	positive regulation of gene expression	1	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
GO_0150077	positive regulation of gene expression	1	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
GO_0004175	positive regulation of gene expression	1	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CHEBI_29105	zinc(2+)	1	Y	Y	Y	490	6.809750425770244e-11	1.3869145470000494e-13	539	1.0	1.0
UBERON_0000014	zone of skin	6	Y	Y	Y	859	0.00017328558757686134	2.0009883092016325e-07	8926	1.0	1.0
CHEBI_77932	zone of skin	1	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
GO_0022617	zone of skin	1	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
GO_0043410	zone of skin	1	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
GO_0150078	zone of skin	1	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
GO_0062023	zone of skin	1	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
GO_0008270	zone of skin	1	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
GO_0010629	negative regulation of gene expression	1	Y	Y	Y	1047	0.006919899045775022	6.552934702438468e-06	2614	1.0	1.0
GO_0004222	negative regulation of gene expression	1	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
GO_1903428	negative regulation of gene expression	2	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CHEBI_60648	doxycycline monohydrate	1	Y	Y	Y	1355	0.27631780941535045	0.00020037549631279943	8004	1.0	1.0
CHEBI_29108	calcium(2+)	1	Y	Y	Y	83	7.671232460811956e-112	9.132419596204708e-114	280	1.0	0.862677348393095
CHEBI_50845	doxycycline	1	Y	Y	Y	274	2.6486097201014388e-21	9.596412029353042e-24	395	1.0	1.0
GO_0046330	positive regulation of JNK cascade	1	Y	N	Y	6021	1.0	0.3342218204141381	10026	1.0	1.0
CHEBI_42191	ethylenediaminetetraacetic acid	1	Y	Y	Y	632	1.086433677420638e-07	1.713617787729713e-10	9159	1.0	1.0
CHEBI_27902	tetracycline	1	Y	Y	N	1596	1.0	0.001074482875515041	618	1.0	1.0
UBERON_0000956	cerebral cortex	2	Y	Y	Y	188	1.6247772602404178e-32	8.596705080637129e-35	9105	1.0	1.0
GO_0032693	cerebral cortex	1	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
GO_0008233	cerebral cortex	1	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PR_000010490	neutrophil collagenase	1	Y	Y	N	6588	1.0	0.3342218204141381	4364	1.0	1.0
GO_1903978	neutrophil collagenase	1	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
GO_0045429	neutrophil collagenase	1	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
GO_0032755	neutrophil collagenase	1	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
GO_0043388	neutrophil collagenase	1	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CL_0000775	neutrophil	13	Y	Y	Y	35	3.846236032843966e-281	1.0683988980122125e-282	1617	1.0	1.0
GO_1901224	neutrophil	1	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
GO_0032760	neutrophil	2	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CHEBI_44975	neutrophil	1	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
GO_0030574	collagen catabolic process	1	Y	Y	Y	1172	0.04372782157151316	3.7183521744483974e-05	8208	1.0	1.0
CHEBI_138885	collagen catabolic process	1	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
GO_0006508	proteolysis	2	Y	Y	Y	96	5.391908126815615e-87	5.558668171974862e-89	1477	1.0	1.0
GO_0009267	proteolysis	1	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
GO_0044090	proteolysis	1	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
GO_0005765	lysosomal membrane	2	Y	Y	N	3863	1.0	0.11214271133478153	2287	1.0	1.0
GO_0005802	lysosomal membrane	1	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
GO_2000786	lysosomal membrane	1	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
GO_0005764	lysosome	1	Y	Y	Y	216	6.562642071479295e-27	3.024259019114882e-29	6385	1.0	1.0
GO_0000045	lysosome	1	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CL_0000082	epithelial cell of lung	1	Y	Y	Y	952	0.0010950517053118175	1.1359457523981514e-06	3086	1.0	1.0
UBERON_0001150	body of pancreas	2	Y	Y	Y	1375	0.27631780941535045	0.00020037549631279943	1565	1.0	1.0
CL_0000125	glial cell	2	Y	Y	Y	74	7.38404250201307e-120	9.845390002684096e-122	1493	1.0	1.0
GO_0003723	glial cell	3	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
GO_0031902	glial cell	1	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
UBERON_0000955	brain	6	Y	Y	Y	9	0.0	0.0	5	1.9075793435040034e-65	3.179298905840006e-66
PR_Q6UXG2	brain	1	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
UBERON_0002048	lung	1	Y	Y	Y	24	0.0	0.0	8089	1.0	1.0
UBERON_0000310	breast	2	Y	Y	Y	4	0.0	0.0	76	0.07962356554483807	0.0010340722798030915
UBERON_0001044	saliva-secreting gland	5	Y	Y	Y	1052	0.006919899045775022	6.552934702438468e-06	6421	1.0	1.0
GO_0005770	saliva-secreting gland	1	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
GO_0005887	integral component of plasma membrane	4	Y	N	Y	3346	1.0	0.11214271133478153	9870	1.0	1.0
GO_0009897	integral component of plasma membrane	4	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
GO_0045953	integral component of plasma membrane	1	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PR_000005560	integral component of plasma membrane	1	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
GO_0002769	integral component of plasma membrane	1	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
GO_0032991	protein-containing complex	3	Y	Y	Y	52	3.08772113759109e-191	5.825888938851114e-193	1630	1.0	1.0
UBERON_0000473	testis	1	Y	Y	Y	88	5.127528307398404e-99	5.761267761121802e-101	2717	1.0	1.0
GO_2000272	testis	1	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
GO_0030547	testis	1	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PR_Q2HXU8	testis	1	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
GO_0019903	testis	1	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
GO_0042802	testis	5	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CHEBI_16704	testis	1	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
GO_0016020	membrane	4	Y	Y	Y	38	1.059153082866359e-270	2.7157771355547664e-272	9089	1.0	1.0
CHEBI_30772	butyric acid	1	Y	Y	Y	2000	1.0	0.0054672462985972045	2859	1.0	1.0
CHEBI_16778	butyric acid	1	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CHEBI_58470	butyric acid	1	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CHEBI_16243	quercetin	4	Y	Y	Y	361	1.6897937405476046e-16	4.667938509800014e-19	1494	1.0	1.0
CHEBI_3584	quercetin	1	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
GO_0046718	viral entry into host cell	1	Y	Y	N	2437	1.0	0.026406799210654797	1266	1.0	1.0
CL_0000765	erythroblast	7	Y	Y	N	7106	1.0	0.3342218204141381	4650	1.0	1.0
GO_0001618	erythroblast	2	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CHEBI_57694	erythroblast	4	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
GO_0005654	nucleoplasm	4	Y	Y	Y	1994	1.0	0.0054672462985972045	2960	1.0	1.0
CHEBI_2781	apocynin	3	Y	N	Y	6031	1.0	0.3342218204141381	9543	1.0	1.0
CHEBI_15996	apocynin	1	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CHEBI_27881	resveratrol	1	Y	Y	Y	160	9.935436132984279e-44	6.171078343468495e-46	138	1.0	0.06330171082764942
CHEBI_37537	phorbol 13-acetate 12-myristate	3	Y	Y	N	3742	1.0	0.11214271133478153	1790	1.0	1.0
PR_000001460	glycophorin-A	1	Y	N	Y	3715	1.0	0.11214271133478153	9478	1.0	1.0
CL_0000788	glycophorin-A	2	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CHEBI_17594	hydroquinone	1	Y	N	Y	5419	1.0	0.3342218204141381	10473	1.0	1.0
CHEBI_65329	LY294002	1	Y	Y	Y	1344	0.27631780941535045	0.00020037549631279943	8636	1.0	1.0
CHEBI_68540	LY294002	1	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
GO_0005829	cytosol	9	Y	Y	Y	157	1.5709490200323723e-44	9.942715316660584e-47	7102	1.0	1.0
CHEBI_90695	cytosol	3	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CHEBI_27563	arsenic atom	1	Y	Y	Y	14	0.0	0.0	28	9.302871460182748e-11	3.2078867104078446e-12
CHEBI_90693	arsenic atom	3	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CHEBI_82625	Trolox	3	Y	Y	Y	1354	0.27631780941535045	0.00020037549631279943	8619	1.0	1.0
CHEBI_18388	apigenin	1	Y	Y	Y	275	2.6486097201014388e-21	9.596412029353042e-24	3103	1.0	1.0
CHEBI_16971	apigenin	1	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CHEBI_30621	apigenin	2	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CHEBI_77986	apigenin	3	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CHEBI_9433	apigenin	2	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CHEBI_63452	apigenin	2	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CHEBI_49900	apigenin	2	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CHEBI_17562	apigenin	1	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CHEBI_28939	apigenin	3	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CHEBI_45713	trans-resveratrol	1	Y	Y	N	7891	1.0	0.3342218204141381	4350	1.0	1.0
PR_P02724	trans-resveratrol	1	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CHEBI_30616	trans-resveratrol	1	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
GO_0060339	trans-resveratrol	1	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CHEBI_67143	trans-resveratrol	1	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PR_Q9Y6K5	trans-resveratrol	1	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PR_000011576	trans-resveratrol	1	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
GO_0003725	trans-resveratrol	1	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
GO_0071650	trans-resveratrol	1	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CHEBI_33019	trans-resveratrol	1	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
GO_0005524	trans-resveratrol	1	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
GO_0071659	trans-resveratrol	1	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
GO_0006139	trans-resveratrol	1	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
GO_0039529	trans-resveratrol	1	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CHEBI_18420	magnesium(2+)	1	Y	Y	Y	675	6.865996855739535e-07	1.01268390202648e-09	6799	1.0	1.0
GO_2000342	magnesium(2+)	1	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
GO_0001730	magnesium(2+)	1	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
GO_0032728	magnesium(2+)	1	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CHEBI_6078	ivermectin	2	Y	Y	N	5728	1.0	0.3342218204141381	5022	1.0	1.0
