DATE,ARTICLE,SENTENCE,IGNORANCE_CATEGORIES,ANNOTATED LEXICAL CUES
8/2012,PMC3427250,"However, the vitamin D content of multivitamins for pregnant women in Belgium is only 400 IU indicating even this recommendation is not followed as pregnant women only take one multivitamin pill a day","{'ALTERNATIVE_OPTIONS_CONTROVERSY', 'ANOMALY_CURIOUS_FINDING', 'INCOMPLETE_EVIDENCE', 'FUTURE_WORK'}","[('however', 'ALTERNATIVE_OPTIONS_CONTROVERSY'), ('only', 'ANOMALY_CURIOUS_FINDING'), ('indicating', 'INCOMPLETE_EVIDENCE'), ('even', 'ANOMALY_CURIOUS_FINDING'), ('recommendation', 'FUTURE_WORK')]"
8/2012,PMC3427250,"In addition to the uncertainty concerning the optimal vitamin D intakes preventing vitamin D deficiency, there exists also a lack of recommendations to treat vitamin D deficient pregnant women","{'FULL_UNKNOWN', 'INCOMPLETE_EVIDENCE', 'FUTURE_WORK', 'PROBLEM_COMPLICATION'}","[('uncertainty', 'FULL_UNKNOWN'), ('concerning', 'PROBLEM_COMPLICATION'), ('lack_of', 'INCOMPLETE_EVIDENCE'), ('recommendations', 'FUTURE_WORK')]"
8/2012,PMC3427250,The uncovering of the magnitude of vitamin D deficiency in pregnant women in Belgium (and Western Europe) should be translated into new research in order to fill the huge knowledge gap concerning the adequate amount of vitamin D to prevent and treat vitamin D deficient pregnant women,"{'FULL_UNKNOWN', 'INCOMPLETE_EVIDENCE', 'FUTURE_WORK', 'PROBLEM_COMPLICATION'}","[('uncovering', 'INCOMPLETE_EVIDENCE'), ('should_be', 'FUTURE_WORK'), ('new_research', 'INCOMPLETE_EVIDENCE'), ('knowledge_gap', 'FULL_UNKNOWN'), ('concerning', 'PROBLEM_COMPLICATION')]"
8/2012,PMC3427250,"Therefore, there is an urgent need of randomised controlled trials of vitamin D supplementation to investigate the maternal and neonatal health benefits of correcting vitamin D deficiency during pregnancy[24]","{'PROBABLE_UNDERSTANDING', 'IMPORTANT_CONSIDERATION', 'FUTURE_WORK'}","[('therefore', 'PROBABLE_UNDERSTANDING'), ('urgent', 'IMPORTANT_CONSIDERATION'), ('need', 'FUTURE_WORK')]"
8/2012,PMC3427250,"Given the high prevalence of vitamin D deficiency in pregnant women in Belgium and probably in many European countries, a vitamin D nutrition policy is needed at the country and European level","{'PROBABLE_UNDERSTANDING', 'FUTURE_WORK'}","[('probably', 'PROBABLE_UNDERSTANDING'), ('is needed', 'FUTURE_WORK')]"
8/2012,PMC3427250,The current vitamin D recommendations for pregnant women are clearly insufficient to prevent and even more to treat vitamin D deficient pregnant women,"{'ANOMALY_CURIOUS_FINDING', 'FUTURE_WORK', 'PROBLEM_COMPLICATION'}","[('recommendations', 'FUTURE_WORK'), ('insufficient', 'PROBLEM_COMPLICATION'), ('even', 'ANOMALY_CURIOUS_FINDING')]"
8/2012,PMC3427250,"Until the adequate treatment of vitamin D deficient pregnant women is established, a safe approach may be to correct vitamin D deficiency by targeting pregnant women at high risk of severe vitamin D deficiency","{'INCOMPLETE_EVIDENCE', 'FUTURE_WORK'}","[('until', 'FUTURE_WORK'), ('may_be', 'INCOMPLETE_EVIDENCE'), ('targeting', 'FUTURE_WORK')]"
8/2012,PMC3427250,"In addition the current vitamin D content of multivitamins for pregnancy, 400 IU, do not even comply with the current Belgian recommendations of 800 IU per day, therefore a prudent step should at least be to increase the vitamin D content in multivitamins for pregnant women to 800 IU","{'ANOMALY_CURIOUS_FINDING', 'PROBABLE_UNDERSTANDING', 'FUTURE_WORK'}","[('even', 'ANOMALY_CURIOUS_FINDING'), ('recommendations', 'FUTURE_WORK'), ('therefore', 'PROBABLE_UNDERSTANDING'), ('prudent', 'FUTURE_WORK'), ('should', 'FUTURE_WORK'), ('at_least', 'PROBABLE_UNDERSTANDING')]"
8/2012,PMC3427250,A targeted screening strategy to detect and treat women at high risk of severe vitamin D deficiency is clearly needed in Belgium and in other European countries,{'FUTURE_WORK'},"[('strategy', 'FUTURE_WORK'), ('is ... needed', 'FUTURE_WORK')]"
8/2012,PMC3427250,"While several observational studies point to correlations between vitamin D insufficiency and maternal and neonatal ill health, experimental evidence from supplementation clinical trials is needed to inform health policy","{'ALTERNATIVE_OPTIONS_CONTROVERSY', 'INCOMPLETE_EVIDENCE', 'FUTURE_WORK', 'SUPERFICIAL_RELATIONSHIP'}","[('while', 'ALTERNATIVE_OPTIONS_CONTROVERSY'), ('point', 'INCOMPLETE_EVIDENCE'), ('correlations', 'SUPERFICIAL_RELATIONSHIP'), ('experimental_evidence', 'INCOMPLETE_EVIDENCE'), ('is needed', 'FUTURE_WORK')]"
2/2012,PMC3513049,Vitamin D should be considered in studies of pets and atopic conditions,{'FUTURE_WORK'},"[('should_be', 'FUTURE_WORK'), ('considered', 'FUTURE_WORK')]"
5/2016,PMC4859539,The lack of association between vitamin D status and cathelicidin in this study may be due to the narrow range in observed 25(OH)D values and warrants additional studies for further observation,"{'QUESTION_ANSWERED_BY_THIS_WORK', 'INCOMPLETE_EVIDENCE', 'FUTURE_WORK', 'PROBLEM_COMPLICATION'}","[('lack_of', 'INCOMPLETE_EVIDENCE'), ('this...study', 'QUESTION_ANSWERED_BY_THIS_WORK'), ('may_be', 'INCOMPLETE_EVIDENCE'), ('due_to', 'PROBLEM_COMPLICATION'), ('narrow_range', 'PROBLEM_COMPLICATION'), ('observed', 'INCOMPLETE_EVIDENCE'), ('warrants', 'FUTURE_WORK'), ('additional_studies', 'FUTURE_WORK')]"
10/2014,PMC4897523,"On the other hand, the involvement of maternal vitamin D during pregnancy in autism requires proper investigation","{'ALTERNATIVE_OPTIONS_CONTROVERSY', 'IMPORTANT_CONSIDERATION', 'FUTURE_WORK'}","[('on_the_other_hand', 'ALTERNATIVE_OPTIONS_CONTROVERSY'), ('requires', 'IMPORTANT_CONSIDERATION'), ('proper investigation', 'FUTURE_WORK')]"
8/2016,PMC4992225,"Intervention in the supplement consumer (vitamin D) group: In 2007 and 2010, the Canadian Pediatric Association recommended a daily amount of 2000 IU of vitamin D for pregnant and breast-feeding women [47,46]",{'FUTURE_WORK'},"[('recommended', 'FUTURE_WORK')]"
8/2016,PMC4992225,"Therefore, we suggest further clinical trials, using 2000 IU vitamin D on a larger population, mothers with high levels of depression, and high serum 25-hydroxyvitamin D concentrations","{'PROBABLE_UNDERSTANDING', 'INCOMPLETE_EVIDENCE', 'FUTURE_WORK'}","[('therefore', 'PROBABLE_UNDERSTANDING'), ('suggest', 'INCOMPLETE_EVIDENCE'), ('further ... trials', 'FUTURE_WORK')]"
1/2017,PMC5273824,"Currently, it is recommended to use multiVitamin or calcium supplements containing Vitamin D for women during pregnancy to increase their Vitamin D intake",{'FUTURE_WORK'},"[('recommended', 'FUTURE_WORK')]"
2/2018,PMC5812027,"Thus, the association between vitamin D status and neonatal birth size is not clear and warrants further investigation","{'PROBABLE_UNDERSTANDING', 'FULL_UNKNOWN', 'FUTURE_WORK', 'SUPERFICIAL_RELATIONSHIP'}","[('thus', 'PROBABLE_UNDERSTANDING'), ('association', 'SUPERFICIAL_RELATIONSHIP'), ('not_clear', 'FULL_UNKNOWN'), ('warrants_further_investigation', 'FUTURE_WORK')]"
2/2018,PMC5812027,"Thus, the association between vitamin D status and risk of miscarriage needs further investigation","{'PROBABLE_UNDERSTANDING', 'FUTURE_WORK', 'SUPERFICIAL_RELATIONSHIP'}","[('thus', 'PROBABLE_UNDERSTANDING'), ('association', 'SUPERFICIAL_RELATIONSHIP'), ('needs', 'FUTURE_WORK'), ('further_investigation', 'FUTURE_WORK')]"
2/2018,PMC5812027,Whether vitamin D metabolism is altered in placental dysfunction in unclear and warrants further investigation,"{'ALTERNATIVE_OPTIONS_CONTROVERSY', 'FULL_UNKNOWN', 'FUTURE_WORK'}","[('whether', 'ALTERNATIVE_OPTIONS_CONTROVERSY'), ('unclear', 'FULL_UNKNOWN'), ('warrants_further_investigation', 'FUTURE_WORK')]"
6/2018,PMC6011374,"A possible association between fetal sex, vitamin D status and GDM provides further questions and encourages continual research and discussion into the role of vitamin D in pregnancy, particularly in vitamin D replete populations","{'EXPLICIT_QUESTION', 'INCOMPLETE_EVIDENCE', 'FUTURE_WORK', 'SUPERFICIAL_RELATIONSHIP'}","[('possible', 'INCOMPLETE_EVIDENCE'), ('association', 'SUPERFICIAL_RELATIONSHIP'), ('further', 'INCOMPLETE_EVIDENCE'), ('questions', 'EXPLICIT_QUESTION'), ('encourages ... research', 'FUTURE_WORK'), ('role', 'SUPERFICIAL_RELATIONSHIP')]"
6/2018,PMC6011374,"Furthermore, there may be possible fetal sex specific differences in vitamin D status worth considering in future studies","{'ALTERNATIVE_OPTIONS_CONTROVERSY', 'IMPORTANT_CONSIDERATION', 'INCOMPLETE_EVIDENCE', 'FUTURE_WORK'}","[('may_be', 'INCOMPLETE_EVIDENCE'), ('possible', 'INCOMPLETE_EVIDENCE'), ('differences', 'ALTERNATIVE_OPTIONS_CONTROVERSY'), ('worth considering', 'IMPORTANT_CONSIDERATION'), ('future_studies', 'FUTURE_WORK')]"
6/2018,PMC6011374,"A possible connection between fetal sex, vitamin D status and pregnancy complications reveals further questions and encourages continual research and discussion into the role of vitamin D in pregnancy, particularly in vitamin D replete populations","{'INCOMPLETE_EVIDENCE', 'FUTURE_WORK', 'SUPERFICIAL_RELATIONSHIP'}","[('possible', 'INCOMPLETE_EVIDENCE'), ('connection', 'SUPERFICIAL_RELATIONSHIP'), ('reveals', 'INCOMPLETE_EVIDENCE'), ('further questions', 'FUTURE_WORK'), ('encourages ... research', 'FUTURE_WORK'), ('role', 'SUPERFICIAL_RELATIONSHIP')]"
7/2018,PMC6039335,Further study is needed to clarify the effects of dietary vitamin D on MS and QG in beef cattle,"{'FUTURE_WORK', 'SUPERFICIAL_RELATIONSHIP'}","[('further_study', 'FUTURE_WORK'), ('study...is_needed', 'FUTURE_WORK'), ('effects', 'SUPERFICIAL_RELATIONSHIP')]"
