DATE,ARTICLE,SENTENCE,IGNORANCE_CATEGORIES,ANNOTATED LEXICAL CUES
12/2011,PMC3272870,"The range between therapeutic and toxic doses is narrow, and vitamin D toxicity, when it occurs, is a serious problem",{'IMPORTANT_CONSIDERATION'},"[('serious', 'IMPORTANT_CONSIDERATION'), ('problem', 'IMPORTANT_CONSIDERATION')]"
4/2012,PMC3348565,Two hospital-based case-control studies in Ethiopia1and India2suggest that vitamin D deficiency might substantially increase the risk of severe pneumonia in children,"{'IMPORTANT_CONSIDERATION', 'INCOMPLETE_EVIDENCE'}","[('suggest', 'INCOMPLETE_EVIDENCE'), ('might', 'INCOMPLETE_EVIDENCE'), ('severe', 'IMPORTANT_CONSIDERATION')]"
4/2012,PMC3348565,"Our findings are at odds with smaller case-control hospital studies that show an enhanced rate of vitamin D deficiency or rickets in children with pneumonia and the increasing evidence suggesting that calcitriol, the biologically active metabolite of vitamin D, has an important role in the human immune system","{'ALTERNATIVE_OPTIONS_CONTROVERSY', 'IMPORTANT_CONSIDERATION', 'INCOMPLETE_EVIDENCE', 'SUPERFICIAL_RELATIONSHIP'}","[('at odds', 'ALTERNATIVE_OPTIONS_CONTROVERSY'), ('smaller...studies', 'INCOMPLETE_EVIDENCE'), ('increasing...evidence', 'INCOMPLETE_EVIDENCE'), ('suggesting', 'INCOMPLETE_EVIDENCE'), ('important', 'IMPORTANT_CONSIDERATION'), ('role', 'SUPERFICIAL_RELATIONSHIP')]"
4/2012,PMC3348565,"The inconsistent results could be related to the evidence that stimulation of Toll-like receptors on macrophages and monocytes by bacterial antigens is important in up-regulation of CYP27B1 and the vitamin D receptor,5which are crucial in production of cathelicidins in vitamin-D-depleted individuals","{'ALTERNATIVE_OPTIONS_CONTROVERSY', 'IMPORTANT_CONSIDERATION', 'INCOMPLETE_EVIDENCE', 'SUPERFICIAL_RELATIONSHIP'}","[('inconsistent', 'ALTERNATIVE_OPTIONS_CONTROVERSY'), ('could_be', 'INCOMPLETE_EVIDENCE'), ('related', 'SUPERFICIAL_RELATIONSHIP'), ('important', 'IMPORTANT_CONSIDERATION'), ('crucial', 'IMPORTANT_CONSIDERATION')]"
4/2012,PMC3348565,"It is important to note that in our study, where community supplementation was in a population with known high rates of vitamin D deficiency, 1% of children tested had a calcifediol concentration greater than 375 nmol/L—thought undesirably high","{'IMPORTANT_CONSIDERATION', 'INCOMPLETE_EVIDENCE', 'PROBLEM_COMPLICATION'}","[('important', 'IMPORTANT_CONSIDERATION'), ('thought', 'INCOMPLETE_EVIDENCE'), ('undesirably', 'PROBLEM_COMPLICATION')]"
4/2012,PMC3348565,"In populations with similar characteristics, quarterly population level supplementation of vitamin D to infants and young children is not a policy option for reducing the burden of pneumonia in children","{'IMPORTANT_CONSIDERATION', 'DIFFICULT_TASK'}","[('is not ... option', 'DIFFICULT_TASK'), ('the burden', 'IMPORTANT_CONSIDERATION')]"
8/2012,PMC3427250,"In conclusion, vitamin D deficiency is highly prevalent among pregnant women in Belgium and this raises concerns about the health consequences for the mother and the offspring",{'IMPORTANT_CONSIDERATION'},"[('raises concerns', 'IMPORTANT_CONSIDERATION')]"
8/2012,PMC3427250,"There is a growing concern about the health consequences of the high prevalence of vitamin D deficiency worldwide among the general population, including pregnant women","{'IMPORTANT_CONSIDERATION', 'INCOMPLETE_EVIDENCE', 'PROBLEM_COMPLICATION'}","[('growing', 'INCOMPLETE_EVIDENCE'), ('concern', 'IMPORTANT_CONSIDERATION'), ('consequences', 'PROBLEM_COMPLICATION')]"
8/2012,PMC3427250,"As those authors recognize that the evidence to propose such intakes is scarce and as long as the health benefits of having serum 25(OH)D levels higher than 30 ng/ml are not clearly established particularly in pregnant women, the Belgian Superior Health council still recommends a vitamin D supplement of 20 µg/day or 800 IU during pregnancy[58]","{'IMPORTANT_CONSIDERATION', 'FULL_UNKNOWN', 'INCOMPLETE_EVIDENCE', 'FUTURE_WORK'}","[('evidence...is_scarce', 'INCOMPLETE_EVIDENCE'), ('not...established', 'FULL_UNKNOWN'), ('still', 'IMPORTANT_CONSIDERATION'), ('recommends', 'FUTURE_WORK')]"
8/2012,PMC3427250,"Therefore, there is an urgent need of randomised controlled trials of vitamin D supplementation to investigate the maternal and neonatal health benefits of correcting vitamin D deficiency during pregnancy[24]","{'PROBABLE_UNDERSTANDING', 'IMPORTANT_CONSIDERATION', 'FUTURE_WORK'}","[('therefore', 'PROBABLE_UNDERSTANDING'), ('urgent', 'IMPORTANT_CONSIDERATION'), ('need', 'FUTURE_WORK')]"
3/2015,PMC4377896,This may be attributable to the synergistic effects of food [34] and associated with fish being a source of other nutrients which are important for infant development such as iodine and vitamin D,"{'ALTERNATIVE_OPTIONS_CONTROVERSY', 'IMPORTANT_CONSIDERATION', 'INCOMPLETE_EVIDENCE', 'SUPERFICIAL_RELATIONSHIP'}","[('may_be', 'INCOMPLETE_EVIDENCE'), ('effects', 'SUPERFICIAL_RELATIONSHIP'), ('associated', 'SUPERFICIAL_RELATIONSHIP'), ('other', 'ALTERNATIVE_OPTIONS_CONTROVERSY'), ('important', 'IMPORTANT_CONSIDERATION')]"
10/2014,PMC4897523,"On the other hand, the involvement of maternal vitamin D during pregnancy in autism requires proper investigation","{'ALTERNATIVE_OPTIONS_CONTROVERSY', 'IMPORTANT_CONSIDERATION', 'FUTURE_WORK'}","[('on_the_other_hand', 'ALTERNATIVE_OPTIONS_CONTROVERSY'), ('requires', 'IMPORTANT_CONSIDERATION'), ('proper investigation', 'FUTURE_WORK')]"
8/2016,PMC4992225,"In accordance to a guideline by Holick et al., 6–8 weeks consumption of a high dose vitamin D supplement are essential to obtain an adequate blood reserves of vitamin D [19]","{'PROBABLE_UNDERSTANDING', 'IMPORTANT_CONSIDERATION', 'INCOMPLETE_EVIDENCE'}","[('in_accordance', 'INCOMPLETE_EVIDENCE'), ('guideline', 'PROBABLE_UNDERSTANDING'), ('essential', 'IMPORTANT_CONSIDERATION')]"
8/2016,PMC4992225,"It seems that in addition to calcium homeostasis and bone health, vitamin D is also essential for brain development and function [20,21]","{'ANOMALY_CURIOUS_FINDING', 'IMPORTANT_CONSIDERATION'}","[('seems', 'ANOMALY_CURIOUS_FINDING'), ('essential', 'IMPORTANT_CONSIDERATION')]"
8/2016,PMC4992225,Li et al. suggested that more accurate clinical trials are required to reach a conclusion about the effectiveness of vitamin D on depression [31],"{'IMPORTANT_CONSIDERATION', 'INCOMPLETE_EVIDENCE'}","[('suggested', 'INCOMPLETE_EVIDENCE'), ('required', 'IMPORTANT_CONSIDERATION'), ('conclusion', 'INCOMPLETE_EVIDENCE')]"
8/2016,PMC4992225,"We also considered vitamin D insufficiency as a serum 25-hydroxyvitamin D of 21–29 ng/ml, and the participants who had serum 25-hydroxyvitamin D of ≥ 30 ng/ml as sufficient [19,46]","{'PROBABLE_UNDERSTANDING', 'IMPORTANT_CONSIDERATION', 'INCOMPLETE_EVIDENCE'}","[('considered', 'INCOMPLETE_EVIDENCE'), ('insufficiency', 'IMPORTANT_CONSIDERATION'), ('as', 'PROBABLE_UNDERSTANDING'), ('as', 'PROBABLE_UNDERSTANDING')]"
8/2016,PMC4992225,"Considering the factors affecting vitamin D production such as clothing type, skin color and the time of day being exposed to the sun [48–50], these results are justifiable","{'PROBABLE_UNDERSTANDING', 'IMPORTANT_CONSIDERATION', 'SUPERFICIAL_RELATIONSHIP'}","[('Considering', 'IMPORTANT_CONSIDERATION'), ('factors', 'SUPERFICIAL_RELATIONSHIP'), ('affecting', 'SUPERFICIAL_RELATIONSHIP'), ('justifiable', 'PROBABLE_UNDERSTANDING')]"
8/2016,PMC4992225,"Vitamin D deficiency is a widespread global problem, which even can observe in the countries which get enough sunlight [49,51]","{'ANOMALY_CURIOUS_FINDING', 'IMPORTANT_CONSIDERATION', 'INCOMPLETE_EVIDENCE'}","[('global problem', 'IMPORTANT_CONSIDERATION'), ('even', 'ANOMALY_CURIOUS_FINDING'), ('can', 'INCOMPLETE_EVIDENCE')]"
1/2017,PMC5273824,"Vitamin D deficiency is a common issue, which has relation with GDM, during the pregnant period","{'IMPORTANT_CONSIDERATION', 'SUPERFICIAL_RELATIONSHIP'}","[('issue', 'IMPORTANT_CONSIDERATION'), ('relation', 'SUPERFICIAL_RELATIONSHIP')]"
1/2017,PMC5273824,Serum 25-OH Vitamin D level is recognized as the best indicator of Vitamin D status,"{'PROBABLE_UNDERSTANDING', 'IMPORTANT_CONSIDERATION', 'SUPERFICIAL_RELATIONSHIP'}","[('recognized', 'PROBABLE_UNDERSTANDING'), ('as', 'PROBABLE_UNDERSTANDING'), ('best', 'IMPORTANT_CONSIDERATION'), ('indicator', 'SUPERFICIAL_RELATIONSHIP')]"
1/2017,PMC5273824,There is an increased risk of Vitamin D deficiency during pregnancy [9],{'IMPORTANT_CONSIDERATION'},"[('increased risk', 'IMPORTANT_CONSIDERATION')]"
1/2017,PMC5273824,It is important to pay attention to Vitamin D nutritional status in GDM pregnancy nutrition management,{'IMPORTANT_CONSIDERATION'},"[('important', 'IMPORTANT_CONSIDERATION'), ('pay attention', 'IMPORTANT_CONSIDERATION')]"
1/2017,PMC5273824,Normal Vitamin D level is one of the nutritional management goals for women with GDM,{'IMPORTANT_CONSIDERATION'},"[('goals', 'IMPORTANT_CONSIDERATION')]"
1/2017,PMC5273824,Sunlight exposure time has an important impact on Vitamin D3 level,"{'IMPORTANT_CONSIDERATION', 'SUPERFICIAL_RELATIONSHIP'}","[('important', 'IMPORTANT_CONSIDERATION'), ('impact', 'SUPERFICIAL_RELATIONSHIP')]"
1/2017,PMC5273824,"Besides sunlight exposure, Vitamin D supplementation is also an important factor that affects serum 25-OH Vitamin D level among women with GDM","{'IMPORTANT_CONSIDERATION', 'SUPERFICIAL_RELATIONSHIP'}","[('important', 'IMPORTANT_CONSIDERATION'), ('factor', 'SUPERFICIAL_RELATIONSHIP'), ('affects', 'SUPERFICIAL_RELATIONSHIP')]"
1/2017,PMC5273824,Such low consumption rate and amount cannot be the leading cause of high Vitamin D detection rate in these participants,"{'IMPORTANT_CONSIDERATION', 'INCOMPLETE_EVIDENCE'}","[('cannot_be', 'INCOMPLETE_EVIDENCE'), ('leading_cause', 'IMPORTANT_CONSIDERATION'), ('detection', 'INCOMPLETE_EVIDENCE')]"
1/2017,PMC5273824,"It is necessary to increase exogenous Vitamin D intake in this population especially in fall and winter, when there is an increase of Vitamin D deficiency in Beijing area",{'IMPORTANT_CONSIDERATION'},"[('necessary', 'IMPORTANT_CONSIDERATION')]"
10/2014,PMC5685050,"Vitamin D deficiency has received increased attention over the past several years since vitamin D may play an important role not only in bone metabolism but also in a variety of non-skeletal diseases such as diabetes mellitus, autoimmune diseases, infectious diseases, cardiovascular diseases and cancer1,2,3","{'IMPORTANT_CONSIDERATION', 'INCOMPLETE_EVIDENCE', 'SUPERFICIAL_RELATIONSHIP'}","[('increased_attention', 'INCOMPLETE_EVIDENCE'), ('may', 'INCOMPLETE_EVIDENCE'), ('important', 'IMPORTANT_CONSIDERATION'), ('role', 'SUPERFICIAL_RELATIONSHIP'), ('only', 'INCOMPLETE_EVIDENCE')]"
10/2014,PMC5685050,Latitude is an important determinant of vitamin D status since the amount of UVB that penetrates the earth's surface decreases markedly with increasing latitude[8],{'IMPORTANT_CONSIDERATION'},"[('important', 'IMPORTANT_CONSIDERATION')]"
10/2014,PMC5685050,The relatively high prevalence of vitamin D insufficiency may have important health implications for Thai people as the science of vitamin D continues to be unraveled,"{'IMPORTANT_CONSIDERATION', 'INCOMPLETE_EVIDENCE'}","[('may', 'INCOMPLETE_EVIDENCE'), ('important', 'IMPORTANT_CONSIDERATION'), ('implications', 'IMPORTANT_CONSIDERATION'), ('unraveled', 'INCOMPLETE_EVIDENCE')]"
6/2018,PMC6011374,Pregnant women are at increased susceptibility to vitamin D deficiency,{'IMPORTANT_CONSIDERATION'},"[('increased susceptibility', 'IMPORTANT_CONSIDERATION')]"
6/2018,PMC6011374,"Furthermore, the gestation at which vitamin D was measured is also important",{'IMPORTANT_CONSIDERATION'},"[('important', 'IMPORTANT_CONSIDERATION')]"
6/2018,PMC6011374,"Furthermore, there may be possible fetal sex specific differences in vitamin D status worth considering in future studies","{'ALTERNATIVE_OPTIONS_CONTROVERSY', 'IMPORTANT_CONSIDERATION', 'INCOMPLETE_EVIDENCE', 'FUTURE_WORK'}","[('may_be', 'INCOMPLETE_EVIDENCE'), ('possible', 'INCOMPLETE_EVIDENCE'), ('differences', 'ALTERNATIVE_OPTIONS_CONTROVERSY'), ('worth considering', 'IMPORTANT_CONSIDERATION'), ('future_studies', 'FUTURE_WORK')]"
6/2018,PMC6011374,"During gestation, fetal demand for calcium increases and it is imperative that maternal vitamin D status remain adequate to support increased calcium absorption from the gut [54]",{'IMPORTANT_CONSIDERATION'},"[('imperative', 'IMPORTANT_CONSIDERATION')]"
6/2018,PMC6011374,"Therefore, vitamin D status may be important in populations where dietary calcium intake is low which is unlikely in the population of women studied here","{'QUESTION_ANSWERED_BY_THIS_WORK', 'PROBABLE_UNDERSTANDING', 'IMPORTANT_CONSIDERATION', 'INCOMPLETE_EVIDENCE'}","[('therefore', 'PROBABLE_UNDERSTANDING'), ('may_be', 'INCOMPLETE_EVIDENCE'), ('important', 'IMPORTANT_CONSIDERATION'), ('unlikely', 'PROBABLE_UNDERSTANDING'), ('here', 'QUESTION_ANSWERED_BY_THIS_WORK')]"
